District,Party,Representative,MarginOfVictory,TotalVotes,MainOpposition,BelieveClimateChange,BirthDate,DateInOffice,AgeAtTakingOfficeYear,YearsInOffice,AgeAtTakingOfficeDay,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfPresidentialCandidateVictory
New York District 9,Democratic,Yvette Clarke,84.7%,"216,719",Alan Bellone,,,,,,,,,1,,,
New York District 10,Democratic,Jerrold Nadler,54.9%,"219,816",Philip Rosenthal,,,,,,,,,1,,,
New York District 11,Republican,Daniel Donovan,26.1%,"216,039",Richard Reichard,,,,,,,,,1,,,
New York District 12,Democratic,Carolyn Maloney,65.9%,"264,146",Robert Ardini,,,,,,,,,1,,,
New York District 13,Democratic,Adriano Espaillat,82.0%,"211,045",Tony Evans,,,,,,,,,1,,,
New York District 14,Democratic,Joseph Crowley,65.2%,"162,935",Frank Spotorno,,,,,,,,,1,,,
New York District 15,Democratic,Jose E. Serrano,91.7%,"157,114",Alejandro Vega,,,,,,,,,1,,,
New York District 16,Democratic,Eliot Engel,89.3%,"203,511",Derickson Lawrence,,,,,,,,,1,,,
New York District 17,Democratic,Nita Lowey,100.0%,Pending,Unopposed,,,,,,,,,1,,,
New York District 18,Democratic,Sean Maloney,10.4%,"270,023",Phil Oliva,,,,,,,,,1,,,
New York District 19,Republican,John Faso,10.0%,"279,784",Zephyr Teachout,,,,,,,,,1,,,
New York District 20,Democratic,Paul Tonko,35.2%,"288,412",Francis Vitollo,,,,,,,,,1,,,
New York District 21,Republican,Elise Stefanik,37.0%,"248,243",Mike Derrick,,,,,,,,,1,,,
New York District 22,Republican,Claudia Tenney,6.5%,"257,035",Kim Myers,,,,,,,,,1,,,
New York District 23,Republican,Tom Reed,16.3%,"257,601",John Plumb,,,,,,,,,1,,,
New York District 24,Republican,John Katko,22.0%,"279,460",Colleen Deacon,,,,,,,,,1,,,
New York District 25,Democratic,Louise Slaughter,12.0%,"303,464",Mark Assini,,,,,,,,,1,,,
New York District 26,Democratic,Brian Higgins,48.7%,"260,206",Shelly Schratz,,,,,,,,,1,,,
New York District 27,Republican,Chris Collins,35.3%,"306,732",Diana Kastenbaum,,,,,,,,,1,,,
North Carolina District 1,Democratic,G.K. Butterfield,39.6%,"346,830",H. Powell Dew Jr.,,,,,,,,,1,,,
North Carolina District 10,Republican,Patrick McHenry,26.3%,"347,703",Andy Millard,,,,,,,,,1,,,
North Carolina District 11,Republican,Mark Meadows,28.3%,"357,102",Rick Bryson,,,,,,,,,1,,,
North Carolina District 12,Democratic,Alma Adams,34.0%,"346,693",Leon Threatt,,,,,,,,,1,,,
North Carolina District 13,Republican,Ted Budd,12.0%,"350,427",Bruce Davis,,,,,,,,,1,,,
North Carolina District 2,Republican,George Holding,13.5%,"386,641",John McNeil,,,,,,,,,1,,,
North Carolina District 3,Republican,Walter Jones,34.8%,"318,857",Ernest Reeves,,,,,,,,,1,,,
North Carolina District 4,Democratic,David Price,36.4%,"403,832",Sue Googe,,,,,,,,,1,,,
North Carolina District 5,Republican,Virginia Foxx,17.0%,"350,540",Josh Brannon,,,,,,,,,1,,,
North Carolina District 6,Republican,Mark Walker,18.6%,"347,453",Pete Glidewell,,,,,,,,,1,,,
North Carolina District 7,Republican,David Rouzer,22.0%,"344,277",J. Wesley Casteen,,,,,,,,,1,,,
North Carolina District 8,Republican,Richard Hudson,18.0%,"319,337",Thomas Mills,,,,,,,,,1,,,
North Carolina District 9,Republican,Robert Pittenger,16.5%,"328,995",Christian Cano,,,,,,,,,1,,,
North Dakota's At-Large District,Republican,Kevin Cramer,45.4%,"336,885",Chase Iron Eyes,,,,,,,,,1,,,
Ohio District 1,Republican,Steve Chabot,19.2%,"344,562",Michele Young,,,,,,,,,1,,,
Ohio District 10,Republican,Michael Turner,31.9%,"326,666",Robert Klepinger,,,,,,,,,1,,,
Ohio District 11,Democratic,Marcia Fudge,60.1%,"291,351",Beverly Goldstein,,,,,,,,,1,,,
Ohio District 12,Republican,Patrick Tiberi,37.0%,"366,273",Ed Albertson,,,,,,,,,1,,,
Ohio District 13,Democratic,Tim Ryan,35.0%,"300,742",Richard Morckel,,,,,,,,,1,,,
Ohio District 14,Republican,David Joyce,25.4%,"342,165",Michael Wager,,,,,,,,,1,,,
Ohio District 15,Republican,Steve Stivers,32.4%,"326,458",Scott Wharton,,,,,,,,,1,,,
Ohio District 16,Republican,Jim Renacci,30.8%,"338,791",Keith Mundy,,,,,,,,,1,,,
Ohio District 2,Republican,Brad Wenstrup,33.0%,"323,124",William Smith,,,,,,,,,1,,,
Ohio District 3,Democratic,Joyce Beatty,37.0%,"277,576",John Adams,,,,,,,,,1,,,
Ohio District 4,Republican,Jim Jordan,36.2%,"302,003",Janet Garrett,,,,,,,,,1,,,
Ohio District 5,Republican,Bob Latta,42.0%,"338,081","James Neu, Jr.",,,,,,,,,1,,,
Ohio District 6,Republican,Bill Johnson,41.3%,"296,115",Michael Lorentz,,,,,,,,,1,,,
Ohio District 7,Republican,Bob Gibbs,35.2%,"302,810",Roy Rich,,,,,,,,,1,,,
Ohio District 8,Republican,Warren Davidson,42.2%,"318,137",Steve Fought,,,,,,,,,1,,,
Ohio District 9,Democratic,Marcy Kaptur,37.1%,"274,237",Donald Philip Larson,,,,,,,,,1,,,
Oklahoma District 1,Republican,Jim Bridenstine,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Oklahoma District 2,Republican,Markwayne Mullin,47.4%,"268,537",Joshua Harris-Till,,,,,,,,,1,,,
Oklahoma District 3,Republican,Frank Lucas,56.6%,"290,284",Frankie Robbins,,,,,,,,,1,,,
Oklahoma District 4,Republican,Tom Cole,43.6%,"292,870",Christina Owen,,,,,,,,,1,,,
Oklahoma District 5,Republican,Steve Russell,20.3%,"280,218",Al McAffrey,,,,,,,,,1,,,
Oregon District 1,Democratic,Suzanne Bonamici,22.4%,"347,579",Brian Heinrich,,,,,,,,,1,,,
Oregon District 2,Republican,Greg Walden,44.0%,"370,562",Jim Crary,,,,,,,,,1,,,
Oregon District 3,Democratic,Earl Blumenauer,52.2%,"352,976",David Walker,,,,,,,,,1,,,
Oregon District 4,Democratic,Peter DeFazio,15.7%,"389,869",Art Robinson,,,,,,,,,1,,,
Oregon District 5,Democratic,Kurt Schrader,10.4%,"332,827",Colm Willis,,,,,,,,,1,,,
Pennsylvania District 1,Democratic,Robert Brady,64.4%,"289,398",Deborah Williams,,,,,,,,,1,,,
Pennsylvania District 1,Republican,Glenn Thompson,35.0%,"298,313",Kerith Strano Taylor,,,,,,,,,1,,,
Pennsylvania District 10,Republican,Tom Marino,40.6%,"296,062",Michael Molesevich,,,,,,,,,1,,,
Pennsylvania District 11,Republican,Lou Barletta,27.4%,"305,914",Mike Marsicano,,,,,,,,,1,,,
Pennsylvania District 12,Republican,Keith Rothfus,23.9%,"351,056",Erin McClelland,,,,,,,,,1,,,
Pennsylvania District 13,Democratic,Brendan Boyle,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Pennsylvania District 14,Democratic,Michael F. Doyle,48.6%,"340,043",Lenny McAllister,,,,,,,,,1,,,
Pennsylvania District 15,Republican,Charlie Dent,20.4%,"316,105",Rick Daugherty,,,,,,,,,1,,,
Pennsylvania District 16,Republican,Lloyd Smucker,11.0%,"311,075",Christina Hartman,,,,,,,,,1,,,
Pennsylvania District 17,Democratic,Matt Cartwright,7.6%,"289,485",Matt Connolly,,,,,,,,,1,,,
Pennsylvania District 18,Republican,Tim Murphy,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Pennsylvania District 2,Democratic,Dwight Evans,80.3%,"344,681",James Jones,,,,,,,,,1,,,
Pennsylvania District 3,Republican,Mike Kelly,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Pennsylvania District 4,Republican,Scott Perry,32.2%,"327,930",Joshua Burkholder,,,,,,,,,1,,,
Pennsylvania District 6,Republican,Ryan Costello,14.6%,"355,471",Mike Parrish,,,,,,,,,1,,,
Pennsylvania District 7,Republican,Patrick Meehan,19.5%,"367,122",Mary Ellen Balchunis,,,,,,,,,1,,,
Pennsylvania District 8,Republican,Brian Fitzpatrick,9.0%,"379,178",Steve Santarsiero,,,,,,,,,1,,,
Pennsylvania District 9,Republican,Bill Shuster,26.9%,"289,756",Art Halvorson,,,,,,,,,1,,,
Rhode Island District 1,Democratic,David Cicilline,29.0%,"199,880",Russell Taub,,,,,,,,,1,,,
Rhode Island District 2,Democratic,Jim Langevin,27.4%,"226,869",Rhue Reis,,,,,,,,,1,,,
South Carolina District 1,Republican,Mark Sanford,22.0%,"318,403",Dimitri Cherny,,,,,,,,,1,,,
South Carolina District 2,Republican,Joe Wilson,24.4%,"304,690",Arik Bjorn,,,,,,,,,1,,,
South Carolina District 3,Republican,Jeff Duncan,45.9%,"269,786",Hosea Cleveland,,,,,,,,,1,,,
South Carolina District 4,Republican,Trey Gowdy,36.2%,"293,386",Chris Fedalei,,,,,,,,,1,,,
South Carolina District 5,Republican,Mick Mulvaney,20.0%,"296,265",Fran Person,,,,,,,,,1,,,
South Carolina District 6,Democratic,James Clyburn,42.5%,"255,640",Laura Sterling,,,,,,,,,1,,,
South Carolina District 7,Republican,Tom Rice,21.5%,"281,204",Mal Hyman,,,,,,,,,1,,,
South Dakota At-Large District,Republican,Kristi Noem,28.2%,"369,933",Paula Hawks,,,,,,,,,1,,,
Tennessee District 1,Republican,Phil Roe,63.0%,"250,681",Alan Bohms,,,,,,,,,1,,,
Tennessee District 2,Republican,"John Duncan, Jr.",51.3%,"280,686",Stuart Starr,,,,,,,,,1,,,
Tennessee District 3,Republican,Charles Fleischmann,37.5%,"265,753",Melody Shekari,,,,,,,,,1,,,
Tennessee District 4,Republican,Scott DesJarlais,30.0%,"254,605",Steven Reynolds,,,,,,,,,1,,,
Tennessee District 5,Democratic,Jim Cooper,25.1%,"272,949",Stacy Ries Snyder,,,,,,,,,1,,,
Tennessee District 6,Republican,Diane Black,49.3%,"284,219",David Kent,,,,,,,,,1,,,
Tennessee District 7,Republican,Marsha Blackburn,48.6%,"275,805",Tharon Chandler,,,,,,,,,1,,,
Tennessee District 8,Republican,David Kustoff,43.7%,"281,116",Rickey Hobson,,,,,,,,,1,,,
Tennessee District 9,Democratic,Steve Cohen,60.0%,"215,656",Wayne Alberson,,,,,,,,,1,,,
Texas District 1,Republican,Louie Gohmert,49.8%,"259,745",Shirley McKellar,,,,,,,,,1,,,
Texas District 10,Republican,Michael McCaul,19.0%,"311,828",Tawana Cadien,,,,,,,,,1,,,
Texas District 11,Republican,Mike Conaway,79.0%,"225,089",Nicholas Landholt,,,,,,,,,1,,,
Texas District 12,Republican,Kay Granger,42.6%,"282,855",Bill Bradshaw,,,,,,,,,1,,,
Texas District 13,Republican,Mac Thornberry,83.3%,"220,854",Calvin DeWeese,,,,,,,,,1,,,
Texas District 14,Republican,Randy Weber,24.0%,"259,155",Michael Cole,,,,,,,,,1,,,
Texas District 15,Democratic,Vicente Gonzalez,20.0%,"177,198",Tim Westley,,,,,,,,,1,,,
Texas District 16,Democratic,Beto O'Rourke,76.0%,"172,584",Jaime Perez,,,,,,,,,1,,,
Texas District 17,Republican,Bill Flores,25.6%,"245,194",William Matta,,,,,,,,,1,,,
Texas District 18,Democratic,Sheila Jackson Lee,49.8%,"204,014",Lori Bartley,,,,,,,,,1,,,
Texas District 19,Republican,Jodey Arrington,78.1%,"203,080",Troy Bonar,,,,,,,,,1,,,
Texas District 2,Republican,Ted Poe,24.6%,"277,891",Pat Bryan,,,,,,,,,1,,,
Texas District 20,Democratic,Joaquin Castro,64.3%,"187,514",Jeffrey Blunt,,,,,,,,,1,,,
Texas District 21,Republican,Lamar Smith,20.6%,"354,994",Thomas Wakely,,,,,,,,,1,,,
Texas District 22,Republican,Pete Olson,19.1%,"305,125",Mark Gibson,,,,,,,,,1,,,
Texas District 23,Republican,Will Hurd,1.7%,"226,582",Pete Gallego,,,,,,,,,1,,,
Texas District 24,Republican,Kenny Marchant,16.9%,"274,525",Jan McDowell,,,,,,,,,1,,,
Texas District 25,Republican,Roger Williams,20.7%,"309,223",Kathi Thomas,,,,,,,,,1,,,
Texas District 26,Republican,Michael Burgess,36.7%,"317,001",Eric Mauck,,,,,,,,,1,,,
Texas District 27,Republican,Blake Farenthold,23.4%,"229,653",Paul (Roy) Barrera,,,,,,,,,1,,,
Texas District 28,Democratic,Henry Cuellar,34.9%,"184,270",Zeffen Hardin,,,,,,,,,1,,,
Texas District 29,Democratic,Gene Green,48.5%,"131,809",Julio Garza,,,,,,,,,1,,,
Texas District 3,Republican,Sam Johnson,26.7%,"315,144",Adam Bell,,,,,,,,,1,,,
Texas District 30,Democratic,Eddie Bernice Johnson,58.9%,"218,061",Charles Lingerfelt,,,,,,,,,1,,,
Texas District 31,Republican,John Carter,21.9%,"283,859",Mike Clark,,,,,,,,,1,,,
Texas District 32,Republican,Pete Sessions,52.1%,"228,201",Ed Rankin,,,,,,,,,1,,,
Texas District 33,Democratic,Marc Veasey,47.4%,"126,070",M. Mark Mitchell,,,,,,,,,1,,,
Texas District 34,Democratic,Filemon Vela,25.4%,"166,753",Rey Gonzalez Jr.,,,,,,,,,1,,,
Texas District 35,Democratic,Lloyd Doggett,31.5%,"196,921",Susan Narvaiz,,,,,,,,,1,,,
Texas District 36,Republican,Brian Babin,77.4%,"229,690",Hal Ridley Jr.,,,,,,,,,1,,,
Texas District 4,Republican,John Ratcliffe,76.0%,"245,142",Cody Wommack,,,,,,,,,1,,,
Texas District 5,Republican,Jeb Hensarling,61.2%,"192,460",Ken Ashby,,,,,,,,,1,,,
Texas District 6,Republican,Joe Barton,19.3%,"272,895",Ruby Fay Woolridge,,,,,,,,,1,,,
Texas District 7,Republican,John Culberson,12.4%,"255,143",James Cargas,,,,,,,,,1,,,
Texas District 8,Republican,Kevin Brady,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Texas District 9,Democratic,Al Green,61.3%,"188,338",Jeff Martin,,,,,,,,,1,,,
Utah District 1,Republican,Rob Bishop,38.2%,"240,311",Peter Clemens,,,,,,,,,1,,,
Utah District 2,Republican,Chris Stewart,27.4%,"243,693",Charlene Albarran,,,,,,,,,1,,,
Utah District 3,Republican,Jason Chaffetz,47.0%,"254,847",Stephen Tryon,,,,,,,,,1,,,
Utah District 4,Republican,Mia Love,11.8%,"230,702",Doug Owens,,,,,,,,,1,,,
Vermont At-large District,Democratic,Peter Welch,80.0%,"292,726",Erica Clawson,,,,,,,,,1,,,
Virginia District 1,Republican,Rob Wittman,25.1%,"364,296",Matt Rowe,,,,,,,,,1,,,
Virginia District 10,Republican,Barbara Comstock,5.7%,"385,996",LuAnn Bennett,,,,,,,,,1,,,
Virginia District 11,Democratic,Gerald Connolly,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Virginia District 2,Republican,Scott Taylor,23.5%,"279,565",Shaun Brown,,,,,,,,,1,,,
Virginia District 3,Democratic,Bobby Scott,33.7%,"298,795",Marty Williams,,,,,,,,,1,,,
Virginia District 4,Democratic,Donald McEachin,14.5%,"335,200",Mike Wade,,,,,,,,,1,,,
Virginia District 5,Republican,Tom Garrett,16.6%,"354,233",Jane Dittmar,,,,,,,,,1,,,
Virginia District 6,Republican,Bob Goodlatte,33.4%,"335,614",Kai Degner,,,,,,,,,1,,,
Virginia District 7,Republican,David Brat,15.7%,"376,660",Eileen Bedell,,,,,,,,,1,,,
Virginia District 8,Democratic,Don Beyer,41.2%,"358,515",Charles Hernick,,,,,,,,,1,,,
Virginia District 9,Republican,Morgan Griffith,40.3%,"309,586",Derek Kitts,,,,,,,,,1,,,
Washington District 1,Democratic,Suzan DelBene,11.0%,"323,733",Robert Sutherland,,,,,,,,,1,,,
Washington District 10,Democratic,Denny Heck,17.3%,"271,372",Jim Postma,,,,,,,,,1,,,
Washington District 2,Democratic,Rick Larsen,28.1%,"305,499",Marc Hennemann,,,,,,,,,1,,,
Washington District 3,Republican,Jaime Herrera Beutler,22.8%,"298,652",Jim Moeller,,,,,,,,,1,,,
Washington District 4,Republican,Dan Newhouse,14.7%,"211,347",Clint Didier,,,,,,,,,1,,,
Washington District 5,Republican,Cathy McMorris Rodgers,19.0%,"286,821",Joe Pakootas,,,,,,,,,1,,,
Washington District 6,Democratic,Derek Kilmer,23.4%,"306,556",Todd Bloom,,,,,,,,,1,,,
Washington District 7,Democratic,Pramila Jayapal,12.2%,"343,369",Brady Walkinshaw,,,,,,,,,1,,,
Washington District 8,Republican,Dave Reichert,20.1%,"290,997",Tony Ventrella,,,,,,,,,1,,,
Washington District 9,Democratic,Adam Smith,46.1%,"255,785",Doug Basler,,,,,,,,,1,,,
West Virginia District 1,Republican,David McKinley,37.9%,"235,364",Mike Manypenny,,,,,,,,,1,,,
West Virginia District 2,Republican,Alexander Mooney,17.0%,"240,704",Mark Hunt,,,,,,,,,1,,,
West Virginia District 3,Republican,Evan Jenkins,43.9%,"205,786",Matt Detch,,,,,,,,,1,,,
Wisconsin District 1,Republican,Paul Ryan,34.8%,"353,848",Ryan Solen,,,,,,,,,1,,,
Wisconsin District 2,Democratic,Mark Pocan,37.5%,"400,049",Peter Theron,,,,,,,,,1,,,
Wisconsin District 3,Democratic,Ron Kind,100.0%,0,Unopposed,,,,,,,,,1,,,
Wisconsin District 4,Democratic,Gwen Moore,65.3%,"286,069",Robert Raymond,,,,,,,,,1,,,
Wisconsin District 5,Republican,Jim Sensenbrenner,37.4%,"390,496",Khary Penebaker,,,,,,,,,1,,,
Wisconsin District 6,Republican,Glenn Grothman,19.9%,"356,518",Sarah Lloyd,,,,,,,,,1,,,
Wisconsin District 7,Republican,Sean Duffy,23.5%,"360,744",Mary Hoeft,,,,,,,,,1,,,
Wisconsin District 8,Republican,Mike Gallagher,25.3%,"363,380",Tom Nelson,,,,,,,,,1,,,
Wyoming's At-large District,Republican,Liz Cheney,32.1%,"250,868",Ryan Greene,,,,,,,,,1,,,
