,name/official_full,bio/birthday,bio/gender,address,contact_form,url,phone,party,dateInOffice,endOfTerm,yearsInCongress,state,district,office,position
109,Jeff Denham,7/29/67,M,1730 Longworth HOB; Washington DC 20515-0510,https://denham.house.gov/contact-me/email-me,http://denham.house.gov,202-225-4540,Republican,1/5/11,1/3/17,6.0,CA,11.0,1730 Longworth House Office Building,rep
110,Charles W. Dent,5/24/60,M,2211 Rayburn HOB; Washington DC 20515-3815,https://dent.house.gov/?p=ContactForm,https://dent.house.gov,202-225-6411,Republican,1/4/05,1/3/17,12.0,PA,16.0,2211 Rayburn House Office Building,rep
111,Scott DesJarlais,2/21/64,M,413 Cannon HOB; Washington DC 20515-4204,http://desjarlais.house.gov/contact/email-me,https://desjarlais.house.gov,202-225-6831,Republican,1/5/11,1/3/17,6.0,TN,5.0,413 Cannon House Office Building,rep
112,Theodore E. Deutch,5/7/66,M,2447 Rayburn HOB; Washington DC 20515-0921,https://teddeutch.house.gov/forms/writeyourrep/default.aspx,http://teddeutch.house.gov,202-225-3001,Democrat,4/15/10,1/3/17,8.0,FL,22.0,2447 Rayburn House Office Building,rep
113,Mario Diaz-Balart,9/25/61,M,440 Cannon HOB; Washington DC 20515-0925,http://mariodiazbalart.house.gov/contact-mario/write-rep-diaz-balart,http://mariodiazbalart.house.gov,202-225-4211,Republican,1/7/03,1/3/17,14.0,FL,26.0,440 Cannon House Office Building,rep
114,Lloyd Doggett,10/6/46,M,2307 Rayburn HOB; Washington DC 20515-4335,https://forms.house.gov/doggett/webforms/issue_subscribe.htm,http://doggett.house.gov,202-225-4865,Democrat,1/4/95,1/3/17,22.0,TX,36.0,2307 Rayburn House Office Building,rep
115,Joe Donnelly,9/28/55,M,720 Hart Senate Office Building Washington DC 20510,http://www.donnelly.senate.gov/contact/email-joe,http://www.donnelly.senate.gov,202-224-4814,Democrat,1/4/07,1/3/19,12.0,IN,,720 Hart Senate Office Building,sen
116,Michael F. Doyle,8/5/53,M,239 Cannon HOB; Washington DC 20515-3814,https://doyle.house.gov/contact-me/email-me,http://doyle.house.gov,202-225-2135,Democrat,1/4/95,1/3/17,22.0,PA,15.0,239 Cannon House Office Building,rep
117,Sean P. Duffy,10/3/71,M,1208 Longworth HOB; Washington DC 20515-4907,http://duffy.house.gov/contact,https://duffy.house.gov,202-225-3365,Republican,1/5/11,1/3/17,6.0,WI,8.0,1208 Longworth House Office Building,rep
118,Jeff Duncan,1/7/66,M,106 Cannon HOB; Washington DC 20515-4003,https://jeffduncan.house.gov/contact-me/email-me,http://jeffduncan.house.gov,202-225-5301,Republican,1/5/11,1/3/17,6.0,SC,4.0,106 Cannon House Office Building,rep
119,John J. Duncan Jr.,7/21/47,M,2207 Rayburn HOB; Washington DC 20515-4202,https://duncan.house.gov/contact-me/email-me,http://duncan.house.gov,202-225-5435,Republican,11/8/88,1/3/17,30.0,TN,3.0,2207 Rayburn House Office Building,rep
120,Donna F. Edwards,6/28/58,F,2445 Rayburn HOB; Washington DC 20515-2004,https://forms.house.gov/formdonnaedwards/issue_subscribe.shtml,http://donnaedwards.house.gov,202-225-8699,Democrat,6/19/08,1/3/17,10.0,MD,5.0,2445 Rayburn House Office Building,rep
121,Keith Ellison,8/4/63,M,2263 Rayburn HOB; Washington DC 20515-2305,http://ellison.house.gov/contact,http://ellison.house.gov,202-225-4755,Democrat,1/4/07,1/3/17,10.0,MN,6.0,2263 Rayburn House Office Building,rep
122,Renee L. Ellmers,2/9/64,F,1210 Longworth HOB; Washington DC 20515-3302,https://ellmersforms.house.gov/contact-us1,http://ellmers.house.gov,202-225-4531,Republican,1/5/11,1/3/17,6.0,NC,3.0,1210 Longworth House Office Building,rep
123,Eliot L. Engel,2/18/47,M,2462 Rayburn HOB; Washington DC 20515-3216,https://engel.house.gov/write-your-rep1,http://engel.house.gov,202-225-2464,Democrat,1/3/89,1/3/17,28.0,NY,17.0,2462 Rayburn House Office Building,rep
124,Anna G. Eshoo,12/13/42,F,241 Cannon HOB; Washington DC 20515-0518,https://eshoo.house.gov/email-me/,http://eshoo.house.gov,202-225-8104,Democrat,1/5/93,1/3/17,24.0,CA,19.0,241 Cannon House Office Building,rep
125,Blake Farenthold,12/12/61,M,1027 Longworth HOB; Washington DC 20515-4327,http://farentholdforms.house.gov/contact/email.htm,http://farenthold.house.gov,202-225-7742,Republican,1/5/11,1/3/17,6.0,TX,28.0,1027 Longworth House Office Building,rep
126,Sam Farr,7/4/41,M,1126 Longworth HOB; Washington DC 20515-0520,https://forms.house.gov/farr/webforms/issue_subscribe.html,http://farr.house.gov,202-225-2861,Democrat,6/8/93,1/3/17,24.0,CA,21.0,1126 Longworth House Office Building,rep
127,Stephen Lee Fincher,2/7/73,M,2452 Rayburn HOB; Washington DC 20515-4208,https://fincher.house.gov/contact/email-me#.U06uR_ldWVo,http://fincher.house.gov,202-225-4714,Republican,1/5/11,1/3/17,6.0,TN,9.0,2452 Rayburn House Office Building,rep
128,Michael G. Fitzpatrick,6/28/63,M,2400 Rayburn HOB; Washington DC 20515-3808,https://fitzpatrick.house.gov/contact-me/email-me,http://fitzpatrick.house.gov,202-225-4276,Republican,1/4/05,1/3/17,8.0,PA,9.0,2400 Rayburn House Office Building,rep
129,Jeff Flake,12/31/62,M,413 Russell Senate Office Building Washington DC 20510,http://www.flake.senate.gov/contact.cfm,http://www.flake.senate.gov,202-224-4521,Republican,1/3/01,1/3/19,18.0,AZ,,413 Russell Senate Office Building,sen
130,"Charles J. ""Chuck"" Fleischmann",10/11/62,M,230 Cannon HOB; Washington DC 20515-4203,https://fleischmann.house.gov/contact-me/email-me,http://fleischmann.house.gov,202-225-3271,Republican,1/5/11,1/3/17,6.0,TN,4.0,230 Cannon House Office Building,rep
131,John Fleming,7/5/51,M,2182 Rayburn HOB; Washington DC 20515-1804,https://fleming.house.gov/contact/contactform.htm,http://fleming.house.gov,202-225-2777,Republican,1/6/09,1/3/17,8.0,LA,5.0,2182 Rayburn House Office Building,rep
132,Bill Flores,2/25/54,M,1030 Longworth HOB; Washington DC 20515-4317,https://billflores.house.gov/contact/,http://flores.house.gov,202-225-6105,Republican,1/5/11,1/3/17,6.0,TX,18.0,1030 Longworth House Office Building,rep
133,J. Randy Forbes,2/17/52,M,2135 Rayburn HOB; Washington DC 20515-4604,https://forbes.house.gov/contact/contactform.htm,http://forbes.house.gov,202-225-6365,Republican,6/26/01,1/3/17,16.0,VA,5.0,2135 Rayburn House Office Building,rep
134,Jeff Fortenberry,12/27/60,M,1514 Longworth HOB; Washington DC 20515-2701,https://fortenberry.house.gov/contact-me1,https://fortenberry.house.gov,202-225-4806,Republican,1/4/05,1/3/17,12.0,NE,2.0,1514 Longworth House Office Building,rep
135,Virginia Foxx,6/29/43,F,2350 Rayburn HOB; Washington DC 20515-3305,https://foxx.house.gov/forms/writeyourrep/?zip5=&zip4=,http://foxx.house.gov,202-225-2071,Republican,1/4/05,1/3/17,12.0,NC,6.0,2350 Rayburn House Office Building,rep
136,Trent Franks,6/19/57,M,2435 Rayburn HOB; Washington DC 20515-0308,https://franks.house.gov/contact-me/email-me,http://franks.house.gov,202-225-4576,Republican,1/7/03,1/3/17,14.0,AZ,9.0,2435 Rayburn House Office Building,rep
137,Rodney P. Frelinghuysen,4/29/46,M,2306 Rayburn HOB; Washington DC 20515-3011,https://frelinghuysenforms.house.gov/contact-form,http://frelinghuysen.house.gov,202-225-5034,Republican,1/4/95,1/3/17,22.0,NJ,12.0,2306 Rayburn House Office Building,rep
138,Marcia L. Fudge,10/29/52,F,2344 Rayburn HOB; Washington DC 20515-3511,https://fudgeforms.house.gov/contact-form,http://fudge.house.gov,202-225-7032,Democrat,11/19/08,1/3/17,10.0,OH,12.0,2344 Rayburn House Office Building,rep
139,John Garamendi,1/24/45,M,2438 Rayburn HOB; Washington DC 20515-0503,https://garamendi.house.gov/contact-me/email-me,http://garamendi.house.gov,202-225-1880,Democrat,11/3/09,1/3/17,8.0,CA,4.0,2438 Rayburn House Office Building,rep
140,Cory Gardner,8/22/74,M,354 Russell Senate Office Building Washington DC 20510,https://gardner.house.gov/contact-me,https://www.gardner.senate.gov,202-224-5941,Republican,1/5/11,1/3/21,10.0,CO,,354 Russell Senate Office Building,sen
141,Scott Garrett,7/9/59,M,2232 Rayburn HOB; Washington DC 20515-3005,https://garrettforms.house.gov/forms/writeyourrep/?zip5=07452&zip4=3321,http://garrett.house.gov,202-225-4465,Republican,1/7/03,1/3/17,14.0,NJ,6.0,2232 Rayburn House Office Building,rep
142,Bob Gibbs,6/14/54,M,329 Cannon HOB; Washington DC 20515-3507,https://gibbs.house.gov/contact-me/email-me,http://gibbs.house.gov,202-225-6265,Republican,1/5/11,1/3/17,6.0,OH,8.0,329 Cannon House Office Building,rep
143,Christopher P. Gibson,5/13/64,M,1708 Longworth HOB; Washington DC 20515-3219,http://gibson.house.gov/contact/,http://gibson.house.gov,202-225-5614,Republican,1/5/11,1/3/17,6.0,NY,20.0,1708 Longworth House Office Building,rep
144,Louie Gohmert,8/18/53,M,2243 Rayburn HOB; Washington DC 20515-4301,http://gohmert.house.gov/contact/,http://gohmert.house.gov,202-225-3035,Republican,1/4/05,1/3/17,12.0,TX,2.0,2243 Rayburn House Office Building,rep
145,Bob Goodlatte,9/22/52,M,2309 Rayburn HOB; Washington DC 20515-4606,http://goodlatte.house.gov/contacts/new,http://goodlatte.house.gov,202-225-5431,Republican,1/5/93,1/3/17,24.0,VA,7.0,2309 Rayburn House Office Building,rep
146,Paul A. Gosar,11/22/58,M,504 Cannon HOB; Washington DC 20515-0304,https://gosar.house.gov/contact-me/email-me,http://gosar.house.gov,202-225-2315,Republican,1/5/11,1/3/17,6.0,AZ,5.0,504 Cannon House Office Building,rep
147,Trey Gowdy,8/22/64,M,1404 Longworth HOB; Washington DC 20515-4004,https://gowdy.house.gov/forms/writeyourrep/default.aspx,https://gowdy.house.gov,202-225-6030,Republican,1/5/11,1/3/17,6.0,SC,5.0,1404 Longworth House Office Building,rep
148,Kay Granger,1/18/43,F,1026 Longworth HOB; Washington DC 20515-4312,http://kaygranger.house.gov/contact-kay/email-me,http://kaygranger.house.gov,202-225-5071,Republican,1/7/97,1/3/17,20.0,TX,13.0,1026 Longworth House Office Building,rep
149,Chuck Grassley,9/17/33,M,135 Hart Senate Office Building Washington DC 20510,http://www.grassley.senate.gov/constituents/questions-and-comments,http://www.grassley.senate.gov,202-224-3744,Republican,1/14/75,1/3/17,42.0,IA,,135 Hart Senate Office Building,sen
150,Sam Graves,11/7/63,M,1415 Longworth HOB; Washington DC 20515-2506,https://gravesforms.house.gov/email-sam,https://graves.house.gov,202-225-7041,Republican,1/3/01,1/3/17,16.0,MO,7.0,1415 Longworth House Office Building,rep
151,Tom Graves,2/3/70,M,2442 Rayburn HOB; Washington DC 20515-1014,http://tomgraves.house.gov/contact/,http://tomgraves.house.gov,202-225-5211,Republican,6/8/10,1/3/17,8.0,GA,15.0,2442 Rayburn House Office Building,rep
152,Al Green,9/1/47,M,2347 Rayburn HOB; Washington DC 20515-4309,https://algreen.house.gov/contact-me/email-me,http://algreen.house.gov,202-225-7508,Democrat,1/4/05,1/3/17,12.0,TX,10.0,2347 Rayburn House Office Building,rep
153,Gene Green,10/17/47,M,2470 Rayburn HOB; Washington DC 20515-4329,https://green.house.gov/contact-me/email-me,https://green.house.gov,202-225-1688,Democrat,1/5/93,1/3/17,24.0,TX,30.0,2470 Rayburn House Office Building,rep
154,H. Morgan Griffith,3/15/58,M,1108 Longworth HOB; Washington DC 20515-4609,https://morgangriffith.house.gov/contact/contactform.htm,http://morgangriffith.house.gov,202-225-3861,Republican,1/5/11,1/3/17,6.0,VA,10.0,1108 Longworth House Office Building,rep
155,RaÃƒÂºl M. Grijalva,2/19/48,M,1511 Longworth HOB; Washington DC 20515-0303,https://grijalvaforms.house.gov/email-raul,http://grijalva.house.gov,202-225-2435,Democrat,1/7/03,1/3/17,14.0,AZ,4.0,1511 Longworth House Office Building,rep
156,Brett Guthrie,2/18/64,M,2434 Rayburn HOB; Washington DC 20515-1702,http://brettguthrieforms.house.gov/contact/,http://guthrie.house.gov,202-225-3501,Republican,1/6/09,1/3/17,8.0,KY,3.0,2434 Rayburn House Office Building,rep
157,Luis V. GutiÃƒÂ©rrez,12/10/53,M,2408 Rayburn HOB; Washington DC 20515-1304,http://gutierrezforms.house.gov/contact/,http://gutierrez.house.gov,202-225-8203,Democrat,1/5/93,1/3/17,24.0,IL,5.0,2408 Rayburn House Office Building,rep
158,Richard L. Hanna,1/25/51,M,319 Cannon HOB; Washington DC 20515-3222,https://hanna.house.gov/email-me,http://hanna.house.gov,202-225-3665,Republican,1/5/11,1/3/17,6.0,NY,23.0,319 Cannon House Office Building,rep
159,Gregg Harper,6/1/56,M,307 Cannon HOB; Washington DC 20515-2403,https://harperforms.house.gov/forms/writeyourrep/,http://harper.house.gov,202-225-5031,Republican,1/6/09,1/3/17,8.0,MS,4.0,307 Cannon House Office Building,rep
160,Andy Harris,1/25/57,M,1533 Longworth HOB; Washington DC 20515-2001,https://harris.house.gov/contact-me/email-me,http://harris.house.gov,202-225-5311,Republican,1/5/11,1/3/17,6.0,MD,2.0,1533 Longworth House Office Building,rep
161,Vicky Hartzler,10/13/60,F,2235 Rayburn HOB; Washington DC 20515-2504,https://hartzler.house.gov/contact-me/email-me,http://hartzler.house.gov,202-225-2876,Republican,1/5/11,1/3/17,6.0,MO,5.0,2235 Rayburn House Office Building,rep
162,Alcee L. Hastings,9/5/36,M,2353 Rayburn HOB; Washington DC 20515-0920,https://alceehastings.house.gov/forms/writeyourrep/?zip5=33407&zip4=3224,http://alceehastings.house.gov,202-225-1313,Democrat,1/5/93,1/3/17,24.0,FL,21.0,2353 Rayburn House Office Building,rep
163,Joseph J. Heck,10/30/61,M,132 Cannon HOB; Washington DC 20515-2803,https://heck.house.gov/contact-me,https://heck.house.gov,202-225-3252,Republican,1/5/11,1/3/17,6.0,NV,4.0,132 Cannon House Office Building,rep
164,Martin Heinrich,10/17/71,M,303 Hart Senate Office Building Washington DC 20510,http://www.heinrich.senate.gov/contact/write-martin,http://www.heinrich.senate.gov,202-224-5521,Democrat,1/6/09,1/3/19,10.0,NM,,303 Hart Senate Office Building,sen
165,Jeb Hensarling,5/29/57,M,2228 Rayburn HOB; Washington DC 20515-4305,https://hensarling.house.gov/contact/email-me,http://hensarling.house.gov,202-225-3484,Republican,1/7/03,1/3/17,14.0,TX,6.0,2228 Rayburn House Office Building,rep
166,Jaime Herrera Beutler,11/3/78,F,1130 Longworth HOB; Washington DC 20515-4703,http://herrerabeutler.house.gov/contact/,http://herrerabeutler.house.gov,202-225-3536,Republican,1/5/11,1/3/17,6.0,WA,4.0,1130 Longworth House Office Building,rep
167,Brian Higgins,10/6/59,M,2459 Rayburn HOB; Washington DC 20515-3226,http://higgins.house.gov/contact/email-brian,http://higgins.house.gov,202-225-3306,Democrat,1/4/05,1/3/17,12.0,NY,27.0,2459 Rayburn House Office Building,rep
168,James A. Himes,7/5/66,M,1227 Longworth HOB; Washington DC 20515-0704,https://himes.house.gov/contact-me/email-me,http://himes.house.gov,202-225-5541,Democrat,1/6/09,1/3/17,8.0,CT,5.0,1227 Longworth House Office Building,rep
169,RubÃƒÂ©n Hinojosa,8/20/40,M,2262 Rayburn HOB; Washington DC 20515-4315,https://hinojosa.house.gov/contact-me/email-me,http://hinojosa.house.gov,202-225-2531,Democrat,1/7/97,1/3/17,20.0,TX,16.0,2262 Rayburn House Office Building,rep
170,Mazie K. Hirono,11/3/47,F,330 Hart Senate Office Building Washington DC 20510,http://www.hirono.senate.gov/contact/email,https://www.hirono.senate.gov,202-224-6361,Democrat,1/4/07,1/3/19,12.0,HI,,330 Hart Senate Office Building,sen
171,John Hoeven,3/13/57,M,338 Russell Senate Office Building Washington DC 20510,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,https://www.hoeven.senate.gov,202-224-2551,Republican,1/5/11,1/3/17,6.0,ND,,338 Russell Senate Office Building,sen
172,Michael M. Honda,6/27/41,M,1713 Longworth HOB; Washington DC 20515-0517,http://honda.house.gov/contact,https://honda.house.gov,202-225-2631,Democrat,1/3/01,1/3/17,16.0,CA,18.0,1713 Longworth House Office Building,rep
173,Steny H. Hoyer,6/14/39,M,1705 Longworth HOB; Washington DC 20515-2005,https://hoyer.house.gov/email-steny,http://hoyer.house.gov,202-225-4131,Democrat,1/5/81,1/3/17,36.0,MD,6.0,1705 Longworth House Office Building,rep
174,Tim Huelskamp,11/11/68,M,1110 Longworth HOB; Washington DC 20515-1601,https://huelskamp.house.gov/contact/email-me,http://huelskamp.house.gov,202-225-2715,Republican,1/5/11,1/3/17,6.0,KS,2.0,1110 Longworth House Office Building,rep
175,Bill Huizenga,1/31/69,M,1217 Longworth HOB; Washington DC 20515-2202,http://huizenga.house.gov/contact/,http://huizenga.house.gov,202-225-4401,Republican,1/5/11,1/3/17,6.0,MI,3.0,1217 Longworth House Office Building,rep
176,Randy Hultgren,3/1/66,M,2455 Rayburn HOB; Washington DC 20515-1314,https://hultgren.house.gov/contact/email-randy,http://hultgren.house.gov,202-225-2976,Republican,1/5/11,1/3/17,6.0,IL,15.0,2455 Rayburn House Office Building,rep
177,Duncan Hunter,12/7/76,M,2429 Rayburn HOB; Washington DC 20515-0550,https://hunter.house.gov/contact-me/email-me,http://hunter.house.gov,202-225-5672,Republican,1/6/09,1/3/17,8.0,CA,51.0,2429 Rayburn House Office Building,rep
178,Robert Hurt,6/16/69,M,125 Cannon HOB; Washington DC 20515-4605,https://hurt.house.gov/index.cfm/email-me,https://hurt.house.gov,202-225-4711,Republican,1/5/11,1/3/17,6.0,VA,6.0,125 Cannon House Office Building,rep
179,Johnny Isakson,12/28/44,M,131 Russell Senate Office Building Washington DC 20510,http://www.isakson.senate.gov/public/index.cfm/email-me,http://www.isakson.senate.gov,202-224-3643,Republican,1/6/99,1/3/17,18.0,GA,,131 Russell Senate Office Building,sen
180,Steve Israel,5/30/58,M,2457 Rayburn HOB; Washington DC 20515-3203,https://israel.house.gov/contact/email-me,http://israel.house.gov,202-225-3335,Democrat,1/3/01,1/3/17,16.0,NY,4.0,2457 Rayburn House Office Building,rep
181,Darrell E. Issa,11/1/53,M,2269 Rayburn HOB; Washington DC 20515-0549,http://issa.house.gov/contact/contact-me,http://issa.house.gov,202-225-3906,Republican,1/3/01,1/3/17,16.0,CA,50.0,2269 Rayburn House Office Building,rep
182,Sheila Jackson Lee,1/12/50,F,2252 Rayburn HOB; Washington DC 20515-4318,http://jacksonlee.house.gov/contact/,http://jacksonlee.house.gov,202-225-3816,Democrat,1/4/95,1/3/17,22.0,TX,19.0,2252 Rayburn House Office Building,rep
183,Lynn Jenkins,6/10/63,F,1526 Longworth HOB; Washington DC 20515-1602,https://lynnjenkins.house.gov/contact-me,http://lynnjenkins.house.gov,202-225-6601,Republican,1/6/09,1/3/17,8.0,KS,3.0,1526 Longworth House Office Building,rep
184,Bill Johnson,11/10/54,M,1710 Longworth HOB; Washington DC 20515-3506,http://billjohnson.house.gov/contact/default.aspx,http://billjohnson.house.gov,202-225-5705,Republican,1/5/11,1/3/17,6.0,OH,7.0,1710 Longworth House Office Building,rep
185,Eddie Bernice Johnson,12/3/35,F,2468 Rayburn HOB; Washington DC 20515-4330,https://ebjohnson.house.gov/contact/email-me,http://ebjohnson.house.gov,202-225-8885,Democrat,1/5/93,1/3/17,24.0,TX,31.0,2468 Rayburn House Office Building,rep
186,"Henry C. ""Hank"" Johnson Jr.",10/2/54,M,2240 Rayburn HOB; Washington DC 20515-1004,https://hankjohnson.house.gov/contact-me/email-me,http://hankjohnson.house.gov,202-225-1605,Democrat,1/4/07,1/3/17,10.0,GA,5.0,2240 Rayburn House Office Building,rep
187,Ron Johnson,4/8/55,M,328 Hart Senate Office Building Washington DC 20510,http://www.ronjohnson.senate.gov/public/index.cfm/contact,http://www.ronjohnson.senate.gov,202-224-5323,Republican,1/5/11,1/3/17,6.0,WI,,328 Hart Senate Office Building,sen
188,Sam Johnson,10/11/30,M,2304 Rayburn HOB; Washington DC 20515-4303,http://samjohnson.house.gov/contact/,http://samjohnson.house.gov,202-225-4201,Republican,1/3/91,1/3/17,26.0,TX,4.0,2304 Rayburn House Office Building,rep
189,Walter B. Jones,2/10/43,M,2333 Rayburn HOB; Washington DC 20515-3303,https://jones.house.gov/contact-me/email-me,http://jones.house.gov,202-225-3415,Republican,1/4/95,1/3/17,22.0,NC,4.0,2333 Rayburn House Office Building,rep
190,Jim Jordan,2/17/64,M,1524 Longworth HOB; Washington DC 20515-3504,http://jordan.house.gov/contact/,http://jordan.house.gov,202-225-2676,Republican,1/4/07,1/3/17,10.0,OH,5.0,1524 Longworth House Office Building,rep
191,Marcy Kaptur,6/17/46,F,2186 Rayburn HOB; Washington DC 20515-3509,https://forms.house.gov/kaptur/webforms/issue_subscribe.shtml,http://kaptur.house.gov,202-225-4146,Democrat,1/3/83,1/3/17,34.0,OH,10.0,2186 Rayburn House Office Building,rep
192,William R. Keating,9/6/52,M,315 Cannon HOB; Washington DC 20515-2109,https://forms.house.gov/keating/webforms/contact.shtml,http://keating.house.gov,202-225-3111,Democrat,1/5/11,1/3/17,6.0,MA,10.0,315 Cannon House Office Building,rep
193,Mike Kelly,5/10/48,M,1519 Longworth HOB; Washington DC 20515-3803,https://kelly.house.gov/contact-me/email-me,http://kelly.house.gov,202-225-5406,Republican,1/5/11,1/3/17,6.0,PA,4.0,1519 Longworth House Office Building,rep
194,Ron Kind,3/16/63,M,1502 Longworth HOB; Washington DC 20515-4903,https://kindforms.house.gov/email-ron,http://kind.house.gov,202-225-5506,Democrat,1/7/97,1/3/17,20.0,WI,4.0,1502 Longworth House Office Building,rep
195,Peter T. King,4/5/44,M,339 Cannon HOB; Washington DC 20515-3202,https://peteking.house.gov/contact/email-me,http://peteking.house.gov,202-225-7896,Republican,1/5/93,1/3/17,24.0,NY,3.0,339 Cannon House Office Building,rep
196,Steve King,5/28/49,M,2210 Rayburn HOB; Washington DC 20515-1504,https://forms.house.gov/king/webforms/issue_subscribe.html,https://steveking.house.gov,202-225-4426,Republican,1/7/03,1/3/17,14.0,IA,5.0,2210 Rayburn House Office Building,rep
197,Adam Kinzinger,2/27/78,M,1221 Longworth HOB; Washington DC 20515-1316,https://kinzinger.house.gov/email-adam,http://kinzinger.house.gov,202-225-3635,Republican,1/5/11,1/3/17,6.0,IL,17.0,1221 Longworth House Office Building,rep
198,Mark Kirk,9/15/59,M,524 Hart Senate Office Building Washington DC 20510,http://www.kirk.senate.gov/?p=comment_on_legislation,https://www.kirk.senate.gov,202-224-2854,Republican,1/3/01,1/3/17,22.0,IL,,524 Hart Senate Office Building,sen
199,John Kline,9/6/47,M,2439 Rayburn HOB; Washington DC 20515-2302,http://kline.house.gov/contact/,http://kline.house.gov,202-225-2271,Republican,1/7/03,1/3/17,14.0,MN,3.0,2439 Rayburn House Office Building,rep
200,RaÃƒÂºl R. Labrador,12/8/67,M,1523 Longworth HOB; Washington DC 20515-1201,https://labradorforms.house.gov/email-me,http://labrador.house.gov,202-225-6611,Republican,1/5/11,1/3/17,6.0,ID,2.0,1523 Longworth House Office Building,rep
201,Doug Lamborn,5/24/54,M,2402 Rayburn HOB; Washington DC 20515-0605,https://lambornforms.house.gov/contact-form,http://lamborn.house.gov,202-225-4422,Republican,1/4/07,1/3/17,10.0,CO,6.0,2402 Rayburn House Office Building,rep
202,Leonard Lance,6/25/52,M,2352 Rayburn HOB; Washington DC 20515-3007,https://lance.house.gov/contact-me1,http://lance.house.gov,202-225-5361,Republican,1/6/09,1/3/17,8.0,NJ,8.0,2352 Rayburn House Office Building,rep
203,James R. Langevin,4/22/64,M,2077 Rayburn HOB; Washington DC 20515-3902,https://langevin.house.gov/contact-me/email-me,http://langevin.house.gov,202-225-2735,Democrat,1/3/01,1/3/17,16.0,RI,3.0,2077 Rayburn House Office Building,rep
204,James Lankford,3/4/68,M,316 Hart Senate Office Building Washington DC 20510,https://lankford.house.gov/contact-me/,http://www.lankford.senate.gov,202-224-5754,Republican,1/5/11,1/3/17,10.0,OK,,316 Hart Senate Office Building,sen
205,Rick Larsen,6/15/65,M,2113 Rayburn HOB; Washington DC 20515-4702,http://larsen.house.gov/contact-rick/email-rick,http://larsen.house.gov,202-225-2605,Democrat,1/3/01,1/3/17,16.0,WA,3.0,2113 Rayburn House Office Building,rep
206,John B. Larson,7/22/48,M,1501 Longworth HOB; Washington DC 20515-0701,https://forms.house.gov/larson/contact_new.html,http://larson.house.gov,202-225-2265,Democrat,1/6/99,1/3/17,18.0,CT,2.0,1501 Longworth House Office Building,rep
207,Robert E. Latta,4/18/56,M,2448 Rayburn HOB; Washington DC 20515-3505,https://latta.house.gov/contact/contactform.htm,http://latta.house.gov,202-225-6405,Republican,12/13/07,1/3/17,10.0,OH,6.0,2448 Rayburn House Office Building,rep
208,Patrick J. Leahy,3/31/40,M,437 Russell Senate Office Building Washington DC 20510,https://www.leahy.senate.gov/contact/,https://www.leahy.senate.gov,202-224-4242,Democrat,1/14/75,1/3/17,42.0,VT,,437 Russell Senate Office Building,sen
209,Barbara Lee,7/16/46,F,2267 Rayburn HOB; Washington DC 20515-0513,http://lee.house.gov/contact-the-office/email-me,http://lee.house.gov,202-225-2661,Democrat,4/7/98,1/3/17,20.0,CA,14.0,2267 Rayburn House Office Building,rep
210,Mike Lee,6/4/71,M,361A Russell Senate Office Building Washington DC 20510,http://www.lee.senate.gov/public/index.cfm/contact,http://www.lee.senate.gov,202-224-5444,Republican,1/5/11,1/3/17,6.0,UT,,361a Russell Senate Office Building,sen
211,Sander M. Levin,9/6/31,M,1236 Longworth HOB; Washington DC 20515-2209,https://levin.house.gov/contact-me/email-me,http://levin.house.gov,202-225-4961,Democrat,1/3/83,1/3/17,34.0,MI,10.0,1236 Longworth House Office Building,rep
212,John Lewis,2/21/40,M,343 Cannon HOB; Washington DC 20515-1005,https://johnlewis.house.gov/contact-me/email-me-zip,http://johnlewis.house.gov,202-225-3801,Democrat,1/6/87,1/3/17,30.0,GA,6.0,343 Cannon House Office Building,rep
213,Daniel Lipinski,7/15/66,M,2346 Rayburn HOB; Washington DC 20515-1303,https://lipinskiforms.house.gov/contact-form,http://lipinski.house.gov,202-225-5701,Democrat,1/4/05,1/3/17,12.0,IL,4.0,2346 Rayburn House Office Building,rep
214,Frank A. LoBiondo,5/12/46,M,2427 Rayburn HOB; Washington DC 20515-3002,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,202-225-6572,Republican,1/4/95,1/3/17,22.0,NJ,3.0,2427 Rayburn House Office Building,rep
215,David Loebsack,12/23/52,M,1527 Longworth HOB; Washington DC 20515-1502,https://loebsack.house.gov/forms/writeyourrep/,http://loebsack.house.gov,202-225-6576,Democrat,1/4/07,1/3/17,10.0,IA,3.0,1527 Longworth House Office Building,rep
216,Zoe Lofgren,12/21/47,F,1401 Longworth HOB; Washington DC 20515-0519,http://lofgren.house.gov/contact/,https://lofgren.house.gov,202-225-3072,Democrat,1/4/95,1/3/17,22.0,CA,20.0,1401 Longworth House Office Building,rep
217,Billy Long,8/11/55,M,1541 Longworth HOB; Washington DC 20515-2507,https://longforms.house.gov/email-billy,http://long.house.gov,202-225-6536,Republican,1/5/11,1/3/17,6.0,MO,8.0,1541 Longworth House Office Building,rep
218,Nita M. Lowey,7/5/37,F,2365 Rayburn HOB; Washington DC 20515-3217,https://lowey.house.gov/contact-form/,http://lowey.house.gov,202-225-6506,Democrat,1/3/89,1/3/17,28.0,NY,18.0,2365 Rayburn House Office Building,rep
