Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Donald M. Payne Jr.,17-Dec-58,15-Dec-16,57,M,103 Cannon HOB; Washington DC 20515-3010,http://payne.house.gov/contact/email-me,http://payne.house.gov,202-225-3436,Democratic,15-Nov-12,3-Jan-17,4,53,NJ,New Jersey,11,103 Cannon House Office Building,rep,2018,Yes,,,
Donald Norcross,13-Dec-58,15-Dec-16,58,M,1531 Longworth HOB; Washington DC 20515-3001,http://norcross.house.gov/contact,http://norcross.house.gov,202-225-6501,Democratic,12-Nov-14,3-Jan-17,2,55,NJ,New Jersey,2,1531 Longworth House Office Building,rep,2018,Yes,,,
Donald S. Beyer Jr.,20-Jun-50,15-Dec-16,66,M,431 Cannon HOB; Washington DC 20515-4608,,http://beyer.house.gov,202-225-4376,Democratic,6-Jan-15,3-Jan-17,1,64,VA,Virginia,9,431 Cannon House Office Building,rep,2018,Yes,,,
Donna F. Edwards,28-Jun-58,15-Dec-16,58,F,2445 Rayburn HOB; Washington DC 20515-2004,https://forms.house.gov/formdonnaedwards/issue_subscribe.shtml,http://donnaedwards.house.gov,202-225-8699,Democratic,19-Jun-08,3-Jan-17,8,49,MD,Maryland,5,2445 Rayburn House Office Building,rep,2018,Yes,,,
Doris O. Matsui,25-Sep-44,15-Dec-16,72,F,2311 Rayburn HOB; Washington DC 20515-0506,https://matsui.house.gov/email-representative-matsui,http://matsui.house.gov,202-225-7163,Democratic,10-Mar-05,3-Jan-17,11,60,CA,California,7,2311 Rayburn House Office Building,rep,2018,Yes,,,
Doug Collins,16-Aug-66,15-Dec-16,50,M,1504 Longworth HOB; Washington DC 20515-1009,https://dougcollins.house.gov/email-me,http://dougcollins.house.gov,202-225-9893,Republican,3-Jan-13,3-Jan-17,3,46,GA,Georgia,10,1504 Longworth House Office Building,rep,2018,No,"When asked if he believes human activity is contributing to climate change, Rep. Collins answered no.","Project Vote Smart Political Courage Test, 2012",http://votesmart.org/candidate/political-courage-test/67851/doug-collins/
Doug LaMalfa,2-Jul-60,15-Dec-16,56,M,322 Cannon HOB; Washington DC 20515-0501,https://lamalfa.house.gov/contact/email-me,http://lamalfa.house.gov,202-225-3076,Republican,3-Jan-13,3-Jan-17,3,52,CA,California,2,322 Cannon House Office Building,rep,2018,No,"There's a lot coming out lately about the sun going into a cooler phase because we're not getting the sunspot activity, so it's starting to blow up the global warming idea, which if you're tracking temperatures haven't really edged up in at least 18 years.","KNCO, 4/12/15",http://knco.com/lamalfa-hosts-contentious-town-hall-meeting/
Doug Lamborn,24-May-54,15-Dec-16,62,M,2402 Rayburn HOB; Washington DC 20515-0605,https://lambornforms.house.gov/contact-form,http://lamborn.house.gov,202-225-4422,Republican,4-Jan-07,3-Jan-17,9,52,CO,Colorado,6,2402 Rayburn House Office Building,rep,2018,No,"We must always strive to be good stewards of our environment. However, we must not cripple our economy and potential for growth and development with hugely expensive costs based on assertions that are being disputed and questioned within the scientific community, Rep. Lamborn said. He has also said there are a lot of contentious facts and claims about global warming and whether it is man made and 'not much unanimity' about it.","The Mountain Mail, 6/3/13|||Doug Lamborn Website, 5/15/15",http://google.com/|||http://google.com
Duncan Hunter,7-Dec-76,15-Dec-16,40,M,2429 Rayburn HOB; Washington DC 20515-0550,https://hunter.house.gov/contact-me/email-me,http://hunter.house.gov,202-225-5672,Republican,6-Jan-09,3-Jan-17,7,32,CA,California,51,2429 Rayburn House Office Building,rep,2018,No,There is climate change. Is there human-caused climate change? I don't buy that.,"Times of San Diego, 9/26/14",http://timesofsandiego.com/politics/2014/09/26/hunter-kimber-spar-50th-district-debate/
Dwight Evans,16-May-54,15-Dec-16,62,M,2301 Rayburn HOB; Washington DC 20515-3802,https://evans.house.gov/contact/email,https://evans.house.gov/,202-225-4001,Democratic,14-Nov-16,3-Jan-17,0,62,PA,Pennsylvania,3,2301 Rayburn House Office Building,rep,2018,Yes,,,
E. Scott Rigell,28-May-60,15-Dec-16,56,M,418 Cannon HOB; Washington DC 20515-4602,https://rigell.house.gov/contact/contactform.htm,http://rigell.house.gov,202-225-4215,Republican,5-Jan-11,3-Jan-17,5,50,VA,Virginia,3,418 Cannon House Office Building,rep,2018,No,,,
Earl Blumenauer,16-Aug-48,15-Dec-16,68,M,1111 Longworth HOB; Washington DC 20515-3703,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,http://blumenauer.house.gov,202-225-4811,Democratic,21-May-96,3-Jan-17,20,47,OR,Oregon,4,1111 Longworth House Office Building,rep,2018,Yes,,,
"Earl L. ""Buddy"" Carter",6-Sep-57,15-Dec-16,59,M,432 Cannon HOB; Washington DC 20515-1001,,http://buddycarter.house.gov,202-225-5831,Republican,6-Jan-15,3-Jan-17,1,57,GA,Georgia,2,432 Cannon House Office Building,rep,2018,No,,,
Ed Perlmutter,1-May-53,15-Dec-16,63,M,1410 Longworth HOB; Washington DC 20515-0607,https://forms.house.gov/perlmutter/webforms/contact.shtml,http://perlmutter.house.gov,202-225-2645,Democratic,4-Jan-07,3-Jan-17,9,53,CO,Colorado,8,1410 Longworth House Office Building,rep,2018,Yes,,,
Eddie Bernice Johnson,3-Dec-35,15-Dec-16,81,F,2468 Rayburn HOB; Washington DC 20515-4330,https://ebjohnson.house.gov/contact/email-me,http://ebjohnson.house.gov,202-225-8885,Democratic,5-Jan-93,3-Jan-17,23,57,TX,Texas,31,2468 Rayburn House Office Building,rep,2018,Yes,,,
Edward J. Markey,11-Jul-46,15-Dec-16,70,M,255 Dirksen Senate Office Building Washington DC 20510,http://www.markey.senate.gov/contact,http://www.markey.senate.gov,202-224-2742,Democratic,14-Jan-75,3-Jan-21,41,28,MA,Massachusetts,,255 Dirksen Senate Office Building,sen,2020,Yes,,,
Edward R. Royce,12-Oct-51,15-Dec-16,65,M,2310 Rayburn HOB; Washington DC 20515-0539,https://royce.house.gov/contact/contactform.htm,http://royce.house.gov,202-225-4111,Republican,5-Jan-93,3-Jan-17,23,41,CA,California,40,2310 Rayburn House Office Building,rep,2018,No,,,
Elijah E. Cummings,18-Jan-51,15-Dec-16,65,M,2230 Rayburn HOB; Washington DC 20515-2007,https://cummings.house.gov/contact-me/email-me,http://cummings.house.gov,202-225-4741,Democratic,16-Apr-96,3-Jan-17,20,45,MD,Maryland,8,2230 Rayburn House Office Building,rep,2018,Yes,,,
Eliot L. Engel,18-Feb-47,15-Dec-16,69,M,2462 Rayburn HOB; Washington DC 20515-3216,https://engel.house.gov/write-your-rep1,http://engel.house.gov,202-225-2464,Democratic,3-Jan-89,3-Jan-17,27,41,NY,New York,17,2462 Rayburn House Office Building,rep,2018,Yes,,,
Elise M. Stefanik,2-Jul-84,15-Dec-16,32,F,512 Cannon HOB; Washington DC 20515-3221,,https://stefanik.house.gov,202-225-4611,Republican,6-Jan-15,3-Jan-17,1,30,NY,New York,22,512 Cannon House Office Building,rep,2018,Yes,,,
Elizabeth H. Esty,25-Aug-59,15-Dec-16,57,F,405 Cannon HOB; Washington DC 20515-0705,http://esty.house.gov/contact,http://esty.house.gov,202-225-4476,Democratic,3-Jan-13,3-Jan-17,3,53,CT,Connecticut,6,405 Cannon House Office Building,rep,2018,Yes,,,
Elizabeth Warren,22-Jun-49,15-Dec-16,67,F,317 Hart Senate Office Building Washington DC 20510,http://www.warren.senate.gov/?p=email_senator#thisForm,http://www.warren.senate.gov,202-224-4543,Democratic,3-Jan-13,3-Jan-19,3,63,MA,Massachusetts,,317 Hart Senate Office Building,sen,2018,Yes,,,
Emanuel Cleaver,26-Oct-44,15-Dec-16,72,M,2335 Rayburn HOB; Washington DC 20515-2505,https://cleaver.house.gov/contact/email-me,http://cleaver.house.gov,202-225-4535,Democratic,4-Jan-05,3-Jan-17,11,60,MO,Missouri,6,2335 Rayburn House Office Building,rep,2018,Yes,,,
"Eric A. ""Rick"" Crawford",22-Jan-66,15-Dec-16,50,M,1711 Longworth HOB; Washington DC 20515-0401,http://crawford.house.gov/contact/,http://crawford.house.gov,202-225-4076,Republican,5-Jan-11,3-Jan-17,5,44,AR,Arkansas,2,1711 Longworth House Office Building,rep,2018,No,,,
Eric Swalwell,16-Nov-80,15-Dec-16,36,M,129 Cannon HOB; Washington DC 20515-0515,http://swalwell.house.gov/contact-me/email-eric/,http://swalwell.house.gov,202-225-5065,Democratic,3-Jan-13,3-Jan-17,3,32,CA,California,16,129 Cannon House Office Building,rep,2018,Yes,,,
Erik Paulsen,14-May-65,15-Dec-16,51,M,127 Cannon HOB; Washington DC 20515-2303,https://paulsenforms.house.gov/contact-me,http://paulsen.house.gov,202-225-2871,Republican,6-Jan-09,3-Jan-17,7,43,MN,Minnesota,4,127 Cannon House Office Building,rep,2018,No,"Representative Erik Paulsen who, when asked if he believes humans are contributing to global warming, responded, I'm not smart enough to know.","The New Republic, 4/22/15",https://newrepublic.com/article/121558/what-climate-change-doing-texas-cattle-ranch
Evan H. Jenkins,12-Sep-60,15-Dec-16,56,M,502 Cannon HOB; Washington DC 20515-4803,,https://evanjenkins.house.gov,202-225-3452,Republican,6-Jan-15,3-Jan-17,1,54,WV,West Virginia,4,502 Cannon House Office Building,rep,2018,No,"According to Bluefield Daily Telegraph, ñIn response to a question about climate change, Jenkins said that he is not a scientist, but he pointed out that the Obama administration and the Environmental Protection Agency said ïno matter what we do here, itÍs not going to have an impact on their doomsday scenario.Íî","Bluefield Daily Telegraph, 11/16/16",http://www.bdtonline.com/news/u-s-rep-evan-jenkins-r-w-va-shares-his/article_e885451e-8c15-11e5-8120-2fb0ec7c18e5.html
F. James Sensenbrenner Jr.,14-Jun-43,15-Dec-16,73,M,2449 Rayburn HOB; Washington DC 20515-4905,http://sensenbrenner.house.gov/contact/email.htm,http://sensenbrenner.house.gov,202-225-5101,Republican,15-Jan-79,3-Jan-17,37,35,WI,Wisconsin,6,2449 Rayburn House Office Building,rep,2018,No,,,
Filemon Vela,13-Feb-63,15-Dec-16,53,M,437 Cannon HOB; Washington DC 20515-4334,https://forms.house.gov/vela/webforms/email-me.shtml,http://vela.house.gov,202-225-9901,Democratic,3-Jan-13,3-Jan-17,3,49,TX,Texas,35,437 Cannon House Office Building,rep,2018,Yes,,,
Frank A. LoBiondo,12-May-46,15-Dec-16,70,M,2427 Rayburn HOB; Washington DC 20515-3002,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,202-225-6572,Republican,4-Jan-95,3-Jan-17,21,48,NJ,New Jersey,3,2427 Rayburn House Office Building,rep,2018,Yes,,,
Frank C. Guinta,26-Sep-70,15-Dec-16,46,M,326 Cannon HOB; Washington DC 20515-2901,,https://guinta.house.gov,202-225-5456,Republican,5-Jan-11,3-Jan-17,5,40,NH,New Hampshire,2,326 Cannon House Office Building,rep,2018,No,"ñI think people determine the issues most important to them and they want to talk about the economy, jobs and health care. That said the issue of global warming or climate change continues to come up; the bottom line is that the science has not been solidified.î","WMUR, 7/17/14",http://www.wmur.com/politics/closeup/closeup-frank-guinta-talks-about-the-campaign/27152204#!boMWcT
Frank D. Lucas,6-Jan-60,15-Dec-16,56,M,2405 Rayburn HOB; Washington DC 20515-3603,https://lucas.house.gov/contact-me/email-me,http://lucas.house.gov,202-225-5565,Republican,10-May-93,3-Jan-17,23,33,OK,Oklahoma,4,2405 Rayburn House Office Building,rep,2018,No,"ñMost telling of the EPAÍs irrational regulatory approach is how the EPA has concluded that the breath that we exhale, the gas that livestock expels, are dangerous pollutants and should be regulated by the Clean Air Act.î","April 7, 2011 House floor speech via Huffington Post, 6/26/14",http://www.huffingtonpost.com/2014/06/26/house-science-committee-c_n_5533992.html
Frank Pallone Jr.,30-Oct-51,15-Dec-16,65,M,237 Cannon HOB; Washington DC 20515-3006,https://pallone.house.gov/contact-me/email-me,https://pallone.house.gov,202-225-4671,Democratic,6-Jan-87,3-Jan-17,29,35,NJ,New Jersey,7,237 Cannon House Office Building,rep,2018,Yes,,,
Fred Upton,23-Apr-53,15-Dec-16,63,M,2183 Rayburn HOB; Washington DC 20515-2206,http://upton.house.gov/contact/zipauth.htm,http://upton.house.gov,202-225-3761,Republican,6-Jan-87,3-Jan-17,29,33,MI,Michigan,7,2183 Rayburn House Office Building,rep,2018,No,"We've experienced climate change for a long time, highs and lows. We had the coldest winter ever last winter. There was a report out that the Great Lakes are six degrees below what they were a year ago. I don't know that climate scientists can really predict where we're headed.","Michigan Live, 10/17/14",http://www.mlive.com/news/kalamazoo/index.ssf/2014/10/mayday_pac_ad_funders_against.html
Frederica S. Wilson,5-Nov-42,15-Dec-16,74,F,208 Cannon HOB; Washington DC 20515-0924,https://wilsonforms.house.gov/contact-form,http://wilson.house.gov,202-225-4506,Democratic,5-Jan-11,3-Jan-17,5,68,FL,Florida,25,208 Cannon House Office Building,rep,2018,Yes,,,
G. K. Butterfield,27-Apr-47,15-Dec-16,69,M,2305 Rayburn HOB; Washington DC 20515-3301,https://butterfield.house.gov/email-congressman-butterfield,http://butterfield.house.gov,202-225-3101,Democratic,21-Jul-04,3-Jan-17,12,57,NC,North Carolina,2,2305 Rayburn House Office Building,rep,2018,Yes,,,
Garret Graves,31-Jan-72,15-Dec-16,44,M,204 Cannon HOB; Washington DC 20515-1806,,https://garretgraves.house.gov,202-225-3901,Republican,6-Jan-15,3-Jan-17,1,42,LA,Louisiana,7,204 Cannon House Office Building,rep,2018,No,,,
Gary C. Peters,1-Dec-58,15-Dec-16,58,M,724 Hart Senate Office Building Washington DC 20510,https://petersforms.house.gov/contact-us-form,http://www.peters.senate.gov,202-224-6221,Democratic,6-Jan-09,3-Jan-21,7,50,MI,Michigan,,724 Hart Senate Office Building,sen,2020,Yes,,,
Gary J. Palmer,14-May-54,15-Dec-16,62,M,206 Cannon HOB; Washington DC 20515-0106,,https://palmer.house.gov,202-225-4921,Republican,6-Jan-15,3-Jan-17,1,60,AL,Alabama,7,206 Cannon House Office Building,rep,2018,No,"ñI have a long history of advocating for common sense environmentalism while fighting environmental alarmism. This hearing demonstrated that our current path is based on alarmism. As Dr. Curry testified at the hearing, climate has always changed and always will change, and the models that proponents of vastly reduced carbon emissions rely upon to justify their preferred policies, have proven inaccurate.î","Palmer Website, 4/17/15",https://palmer.house.gov/media-center/in-the-news/palmer-critical-obama-s-un-climate-commitment-after-science-committee
Gene Green,17-Oct-47,15-Dec-16,69,M,2470 Rayburn HOB; Washington DC 20515-4329,https://green.house.gov/contact-me/email-me,https://green.house.gov,202-225-1688,Democratic,5-Jan-93,3-Jan-17,23,45,TX,Texas,30,2470 Rayburn House Office Building,rep,2018,Yes,,,
George Holding,17-Apr-68,15-Dec-16,48,M,507 Cannon HOB; Washington DC 20515-3313,https://holding.house.gov/contact/email-me,http://holding.house.gov,202-225-3032,Republican,3-Jan-13,3-Jan-17,3,44,NC,North Carolina,14,507 Cannon House Office Building,rep,2018,No,,,
Gerald E. Connolly,30-Mar-50,15-Dec-16,66,M,2238 Rayburn HOB; Washington DC 20515-4611,https://forms.house.gov/connolly/contact-form.shtml,http://connolly.house.gov,202-225-1492,Democratic,6-Jan-09,3-Jan-17,7,58,VA,Virginia,12,2238 Rayburn House Office Building,rep,2018,Yes,,,
Glenn Grothman,3-Jul-55,15-Dec-16,61,M,501 Cannon HOB; Washington DC 20515-4906,,http://grothman.house.gov,202-225-2476,Republican,6-Jan-15,3-Jan-17,1,59,WI,Wisconsin,7,501 Cannon House Office Building,rep,2018,No,"This environmental stuff, this is the idea that is driven by this global warming thing. Global warming is not man-made and there is barely any global warming at all, there's been no global warming for the last twelve or thirteen years. I see a shortage of Republicans stepping up to the plate and saying, 'look, this global warming stuff is not going on.' It's ridiculous for the United States, of all the countries in the world, to be putting extra regulations on our business while the Chinese, the Indians, whatever are building new factories all the time while our factories are stuck saying, 'you can't do this, you can't do this,' because you've got to reign in this global warming which doesn't exist anyway.","Right Wing Watch, 8/25/14",https://www.youtube.com/watch?v=oEDiN_CNTCs
Glenn Thompson,27-Jul-59,15-Dec-16,57,M,124 Cannon HOB; Washington DC 20515-3805,https://thompson.house.gov/contact-me/email-me,http://thompson.house.gov,202-225-5121,Republican,6-Jan-09,3-Jan-17,7,49,PA,Pennsylvania,6,124 Cannon House Office Building,rep,2018,No,"Rep. Thompson said I don't see the science is settled. He also suggested climate change is based on political science. In the debate and most of the debate of the majority party here, it's not so much based on real science as political science or even, to some degree, science fictio.. And so not even with the debate of, you know, are we warming the Earth or not warming the Earth, there's a lot of smart folks out there that are publishing research or earning their dissertations based on debating that science. But what the experts agree upon, the researchers agree is, human activity is less than 4 percent contributes towards CO2 emissions.","Congressional Record, 6/2/09 ||| Voices, 3/31/11",http://www.gpo.gov/fdsys/pkg/CREC-2009-06-02/html/CREC-2009-06-02-pt1-PgH6063.htm ||| http://voicesweb.org/gt-thompson-discusses-environment
Grace F. Napolitano,4-Dec-36,15-Dec-16,80,F,1610 Longworth HOB; Washington DC 20515-0532,https://napolitano.house.gov/contact-me/email-me,http://napolitano.house.gov,202-225-5256,Democratic,6-Jan-99,3-Jan-17,17,62,CA,California,33,1610 Longworth House Office Building,rep,2018,Yes,,,
Grace Meng,1-Oct-75,15-Dec-16,41,F,1317 Longworth HOB; Washington DC 20515-3206,https://meng.house.gov/contact/email-me,http://meng.house.gov,202-225-2601,Democratic,3-Jan-13,3-Jan-17,3,37,NY,New York,7,1317 Longworth House Office Building,rep,2018,Yes,,,
Greg Walden,10-Jan-57,15-Dec-16,59,M,2185 Rayburn HOB; Washington DC 20515-3702,https://walden.house.gov/e-mail-greg,http://walden.house.gov,202-225-6730,Republican,6-Jan-99,3-Jan-17,17,41,OR,Oregon,3,2185 Rayburn House Office Building,rep,2018,No,,,
Gregg Harper,1-Jun-56,15-Dec-16,60,M,307 Cannon HOB; Washington DC 20515-2403,https://harperforms.house.gov/forms/writeyourrep/,http://harper.house.gov,202-225-5031,Republican,6-Jan-09,3-Jan-17,7,52,MS,Mississippi,4,307 Cannon House Office Building,rep,2018,No,"I don't believe that the science is at all settled on man-made global warming, Rep. Harper said. He has also claimed that data showing global climate change has been skewed and manipulated.""","Mississippi State University Event, 11/2/12 ||| Washington Examiner, 6/26/14",http://www.youtube.com/watch?v=VGgYk5H1yBo ||| http://www.washingtonexaminer.com/article/2550237
Gregory W. Meeks,25-Sep-53,15-Dec-16,63,M,2234 Rayburn HOB; Washington DC 20515-3205,https://meeks.house.gov/contact-me/email-me,http://meeks.house.gov,202-225-3461,Democratic,7-Jan-97,3-Jan-17,19,43,NY,New York,6,2234 Rayburn House Office Building,rep,2018,Yes,,,
Gus M. Bilirakis,8-Feb-63,15-Dec-16,53,M,2112 Rayburn HOB; Washington DC 20515-0912,https://bilirakis.house.gov/email-congressman-bilirakis/,https://bilirakis.house.gov,202-225-5755,Republican,4-Jan-07,3-Jan-17,9,43,FL,Florida,13,2112 Rayburn House Office Building,rep,2018,No,,,
Gwen Graham,31-Jan-63,15-Dec-16,53,F,1213 Longworth HOB; Washington DC 20515-0902,,https://graham.house.gov,202-225-5235,Democratic,6-Jan-15,3-Jan-17,1,51,FL,Florida,3,1213 Longworth House Office Building,rep,2018,Yes,,,
Gwen Moore,18-Apr-51,15-Dec-16,65,F,2245 Rayburn HOB; Washington DC 20515-4904,https://gwenmoore.house.gov/contact-form,http://gwenmoore.house.gov,202-225-4572,Democratic,4-Jan-05,3-Jan-17,11,53,WI,Wisconsin,5,2245 Rayburn House Office Building,rep,2018,Yes,,,
H. Morgan Griffith,15-Mar-58,15-Dec-16,58,M,1108 Longworth HOB; Washington DC 20515-4609,https://morgangriffith.house.gov/contact/contactform.htm,http://morgangriffith.house.gov,202-225-3861,Republican,5-Jan-11,3-Jan-17,5,52,VA,Virginia,10,1108 Longworth House Office Building,rep,2018,No,,,
Hakeem S. Jeffries,4-Aug-70,15-Dec-16,46,M,1607 Longworth HOB; Washington DC 20515-3208,https://jeffriesforms.house.gov/contact/,http://jeffries.house.gov,202-225-5936,Democratic,3-Jan-13,3-Jan-17,3,42,NY,New York,9,1607 Longworth House Office Building,rep,2018,Yes,,,
Harold Rogers,31-Dec-37,15-Dec-16,78,M,2406 Rayburn HOB; Washington DC 20515-1705,https://halrogers.house.gov/contact/contactform.htm,http://halrogers.house.gov,202-225-4601,Republican,5-Jan-81,3-Jan-17,35,43,KY,Kentucky,6,2406 Rayburn House Office Building,rep,2018,No,,,
Harry Reid,2-Dec-39,15-Dec-16,77,M,522 Hart Senate Office Building Washington DC 20510,http://www.reid.senate.gov/contact,http://www.reid.senate.gov,202-224-3542,Democratic,3-Jan-83,3-Jan-17,33,43,NV,Nevada,,522 Hart Senate Office Building,sen,2022,Yes,,,
Heidi Heitkamp,30-Oct-55,15-Dec-16,61,F,110 Hart Senate Office Building Washington DC 20510,http://www.heitkamp.senate.gov/public/index.cfm/email-heidi,http://www.heitkamp.senate.gov,202-224-2043,Democratic,3-Jan-13,3-Jan-19,3,57,ND,North Dakota,,110 Hart Senate Office Building,sen,2018,Yes,,,
"Henry C. ""Hank"" Johnson Jr.",2-Oct-54,15-Dec-16,62,M,2240 Rayburn HOB; Washington DC 20515-1004,https://hankjohnson.house.gov/contact-me/email-me,http://hankjohnson.house.gov,202-225-1605,Democratic,4-Jan-07,3-Jan-17,9,52,GA,Georgia,5,2240 Rayburn House Office Building,rep,2018,Yes,,,
Henry Cuellar,19-Sep-55,15-Dec-16,61,M,2209 Rayburn HOB; Washington DC 20515-4328,https://cuellar.house.gov/forms/writeyourrep/default.aspx,http://cuellar.house.gov,202-225-1640,Democratic,4-Jan-05,3-Jan-17,11,49,TX,Texas,29,2209 Rayburn House Office Building,rep,2018,Yes,,,
Ileana Ros-Lehtinen,15-Jul-52,15-Dec-16,64,F,2206 Rayburn HOB; Washington DC 20515-0927,https://ros-lehtinen.house.gov/contact-me/email-me,http://ros-lehtinen.house.gov,202-225-3931,Republican,3-Jan-89,3-Jan-17,27,36,FL,Florida,28,2206 Rayburn House Office Building,rep,2018,Yes,,,
J. French Hill,5-Dec-56,15-Dec-16,60,M,1229 Longworth HOB; Washington DC 20515-0402,,https://hill.house.gov,202-225-2506,Republican,6-Jan-15,3-Jan-17,1,58,AR,Arkansas,3,1229 Longworth House Office Building,rep,2018,No,,,
J. Randy Forbes,17-Feb-52,15-Dec-16,64,M,2135 Rayburn HOB; Washington DC 20515-4604,https://forbes.house.gov/contact/contactform.htm,http://forbes.house.gov,202-225-6365,Republican,26-Jun-01,3-Jan-17,15,49,VA,Virginia,5,2135 Rayburn House Office Building,rep,2018,No,,,
Jack Reed,12-Nov-49,15-Dec-16,67,M,728 Hart Senate Office Building Washington DC 20510,http://www.reed.senate.gov/contact/,https://www.reed.senate.gov,202-224-4642,Democratic,3-Jan-91,3-Jan-21,25,41,RI,Rhode Island,,728 Hart Senate Office Building,sen,2020,Yes,,,
Jackie Speier,14-May-50,15-Dec-16,66,F,2465 Rayburn HOB; Washington DC 20515-0514,https://forms.house.gov/speier/webforms/email_jackie.shtml,http://speier.house.gov,202-225-3531,Democratic,8-Apr-08,3-Jan-17,8,57,CA,California,15,2465 Rayburn House Office Building,rep,2018,Yes,,,
Jackie Walorski,17-Aug-63,15-Dec-16,53,F,419 Cannon HOB; Washington DC 20515-1402,https://walorski.house.gov/contact/email-me,http://walorski.house.gov,202-225-3915,Republican,3-Jan-13,3-Jan-17,3,49,IN,Indiana,3,419 Cannon House Office Building,rep,2018,No,,,
Jaime Herrera Beutler,3-Nov-78,15-Dec-16,38,F,1130 Longworth HOB; Washington DC 20515-4703,http://herrerabeutler.house.gov/contact/,http://herrerabeutler.house.gov,202-225-3536,Republican,5-Jan-11,3-Jan-17,5,32,WA,Washington,4,1130 Longworth House Office Building,rep,2018,No,,,
James A. Himes,5-Jul-66,15-Dec-16,50,M,1227 Longworth HOB; Washington DC 20515-0704,https://himes.house.gov/contact-me/email-me,http://himes.house.gov,202-225-5541,Democratic,6-Jan-09,3-Jan-17,7,42,CT,Connecticut,5,1227 Longworth House Office Building,rep,2018,Yes,,,
James B. Renacci,3-Dec-58,15-Dec-16,58,M,328 Cannon HOB; Washington DC 20515-3516,https://renacci.house.gov/index.cfm/contact-form,https://renacci.house.gov,202-225-3876,Republican,5-Jan-11,3-Jan-17,5,52,OH,Ohio,17,328 Cannon House Office Building,rep,2018,No,,,
James Comer,19-Aug-72,15-Dec-16,44,M,2184 Rayburn HOB; Washington DC 20515-1701,https://comer.house.gov/contact/email,https://comer.house.gov/,202-225-3115,Republican,14-Nov-16,3-Jan-17,0,44,KY,Kentucky,2,2184 Rayburn House Office Building,rep,2018,No,,,
James E. Clyburn,21-Jul-40,15-Dec-16,76,M,242 Cannon HOB; Washington DC 20515-4006,https://clyburn.house.gov/contact-me/email-me,http://clyburn.house.gov,202-225-3315,Democratic,5-Jan-93,3-Jan-17,23,52,SC,South Carolina,7,242 Cannon House Office Building,rep,2018,Yes,,,
James E. Risch,3-May-43,15-Dec-16,73,M,483 Russell Senate Office Building Washington DC 20510,http://www.risch.senate.gov/public/index.cfm?p=Email,http://www.risch.senate.gov,202-224-2752,Republican,6-Jan-09,3-Jan-21,7,65,ID,Idaho,,483 Russell Senate Office Building,sen,2020,No,,,
James Lankford,4-Mar-68,15-Dec-16,48,M,316 Hart Senate Office Building Washington DC 20510,https://lankford.house.gov/contact-me/,http://www.lankford.senate.gov,202-224-5754,Republican,5-Jan-11,3-Jan-17,5,42,OK,Oklahoma,,316 Hart Senate Office Building,sen,2022,No,"This whole global warming myth will be exposed as what it really is ‹ a way of control more than anything else,' Lankford said. 'And that generation will be ticked.'","Edmond Sun, 2/16/10",http://www.edmondsun.com/news/local_news/th-district-candidates-united-against-cap-and-trade/article_caaa9492-952c-55bd-80ff-91d402ed7591.html
James M. Inhofe,17-Nov-34,15-Dec-16,82,M,205 Russell Senate Office Building Washington DC 20510,http://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov,202-224-4721,Republican,6-Jan-87,3-Jan-21,29,52,OK,Oklahoma,,205 Russell Senate Office Building,sen,2020,No,"ñTo my knowledge, nobody has uttered the term ïglobal warmingÍ since 2009. ItÍs been completely refuted in most areas. ƒ Those people who really believe that the worldÍs coming to an end because of global warming and thatÍs all due to manmade, anthropogenic gases, we call those people alarmists. ƒ I really believe itÍs the greatest hoax ever perpetrated on the American people.î","Politico, 8/1/12",http://www.politico.com/gallery/2013/07/climate-skeptics-in-congress/001199-016948.html
James P. McGovern,20-Nov-59,15-Dec-16,57,M,438 Cannon HOB; Washington DC 20515-2102,https://mcgovern.house.gov/contact/email-me,http://mcgovern.house.gov,202-225-6101,Democratic,7-Jan-97,3-Jan-17,19,37,MA,Massachusetts,3,438 Cannon House Office Building,rep,2018,Yes,,,
James R. Langevin,22-Apr-64,15-Dec-16,52,M,2077 Rayburn HOB; Washington DC 20515-3902,https://langevin.house.gov/contact-me/email-me,http://langevin.house.gov,202-225-2735,Democratic,3-Jan-01,3-Jan-17,15,36,RI,Rhode Island,3,2077 Rayburn House Office Building,rep,2018,Yes,,,
Janice D. Schakowsky,26-May-44,15-Dec-16,72,F,2367 Rayburn HOB; Washington DC 20515-1309,https://schakowsky.house.gov/write-to-congresswoman-jan-schakowsky,http://schakowsky.house.gov,202-225-2111,Democratic,6-Jan-99,3-Jan-17,17,54,IL,Illinois,10,2367 Rayburn House Office Building,rep,2018,Yes,,,
Jared Huffman,18-Feb-64,15-Dec-16,52,M,1630 Longworth HOB; Washington DC 20515-0502,https://huffman.house.gov/contact/email-me,http://huffman.house.gov,202-225-5161,Democratic,3-Jan-13,3-Jan-17,3,48,CA,California,3,1630 Longworth House Office Building,rep,2018,Yes,,,
