nameFull,careerContributions,imageUrl,quote,stateAbr,quoteAnchor,quoteRef,quoteRefUrl
Dan Coats,"$446,574",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Dan_Coats.jpg,"Coats makes the common mistake of conflating climate change and weather. During a discussion on climate change at candidate forum Coats brought up a recent snowstorm to dismiss the threat of global warming. And after taking a Senate vote to say climate change is not a hoax, Coats tweeted: “Just voted to express that climate change is not a hoax. As @varvel pointed out, in Indiana we call it ‘March.’”",IN,qwlhzxsju,"Evansville Courier & Press, 4/18/10 via WayBack Machine ||| Talking Points Memo, 1/21/15",http://web.archive.org/web/20111202072837/http:/www.courierpress.com/news/2010/apr/18/tea-party-weakness-shown-by-times-poll/?print=1 ||| http://talkingpointsmemo.com/dc/senate-climate-change-hoax
Rod Blum,"$25,400",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Rod_Blum.jpg,"“Well, it’s interesting. I can see why the average citizen is skeptical about this. I guess you can put me in that camp. I’m skeptical … I’m not a scientist, and I know most scientists’ paychecks come from the federal government, and so right away that makes me a bit skeptical. Thirty years ago we were going into a global cooling period. That makes me skeptical.”",IA,cnwxhadns,"Iowa Public Radio, 5/29/14",http://iowapublicradio.org/post/candidate-profile-rod-blum#stream/0
David Young,"$37,250",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/David_Young.jpg,"“I’ve seen, like a lot of people, credible studies on both sides of this issue. I do know one thing for sure: We need to use sound science and not put this into a political science box. We need to make sure also that if this is going to be put through public policy, it needs to not be done unilaterally through this administration, through executive order, or by the EPA.”",IA,bnneglsso,"Iowa Public Radio, 5/22/14",http://iowapublicradio.org/post/candidate-profile-david-young#stream/0
Steve King,"$78,950",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Steve_King.jpg,"At an event sponsored by the Koch-funded Americans for Prosperity, King told the audience that climate change “is not proven, it’s not science. It’s more of a religion than a science.” More recently he suggested climate scientists “have collected a lot of money from donors in government and created a science that’s awfully hard to sustain.” He also said that more carbon dioxide in the atmosphere could be good. “Everything that might result from a warmer planet is always bad in [environmentalists’] analysis,” King said. “There will be more photosynthesis going on if the Earth gets warmer … And if sea levels go up 4 or 6 inches, I don’t know if we’d know that.”",IA,ilwnshfom,"ThinkProgress, 8/7/13 ||| The Daily Caller, 12/14/15",http://thinkprogress.org/climate/2013/08/07/2429331/steve-king-climate-religion/ ||| http://dailycaller.com/2015/12/14/rep-steve-king-climate-scientists-benefiting-from-federal-dollars/#ixzz40NJ6Mq4c
Joni Ernst,"$188,600",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Joni_Ernst.jpg,"“I don’t know the science behind climate change. I can’t say one way or another what is the direct impact from, whether it’s man-made or not…I’ve heard arguments from both sides, but I do believe in protecting our environment.”",IA,wkqtrjckx,"E&E News, 1/13/15",http://www.eenews.net/special_reports/inside_committees/stories/1060011548
Tim Huelskamp,"$238,593",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Tim_Huelskamp.jpg,"“Shortly after the pope's speech, Tim Huelskamp (R-Kan.) told The Huffington Post that climate change is not ‘settled science,’ so he didn't feel the same sense of urgency as his church's top leader. ‘I don't think there's a scientific consensus on that,’ Huelskamp said. ‘If you want to print that life begins at conception, that's settled science.’""",KS,dlubtjjww,"Huffington Post, 9/24/15",http://www.huffingtonpost.com/entry/pope-congress-climate-change-immigration_us_56042de8e4b08820d91bf69d
Mike Pompeo,"$1,051,210",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mike_Pompeo.jpg,"When asked if he believes global warming is a problem, Pompeo responded: “Look, I think the science needs to continue to develop. I’m happy to continue to look at it. There are scientists who think lots of different things about climate change. There’s some who think we’re warming, there’s some who think we’re cooling, there’s some who think that the last 16 years have shown a pretty stable climate environment.”",KS,fidqasoql,"C-SPAN Interview, 6/25/13",http://www.c-span.org/video/?c4456999/mike-pompeo-washington-journal
Pat Roberts,"$855,575",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Pat_Roberts.jpg,"“There’s no question there’s some global warming, but I’m not sure what it means. A lot of this is condescending elitism.”",KS,cpnuyplrt,"Topeka Capital-Journal, 8/24/10",http://cjonline.com/news/state/2010-08-24/oil_gas_industry_its_not_our_fault
Ed Whitfield,"$778,812",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Ed_Whitfield.jpg,"“As public-policymakers, I think the thing that concerns me, particularly, just like this--we have had 24 panels of witnesses on science. And every time basically there is an agreement there is warming, there is a disagreement on why it is. And we know that we have had warming periods in the past. We have had the Minoan warming period, the Roman warming period, the medieval warming period. And during that time, there was no industrialization, and so CO2 carbon emissions were not as high as they are today. Why? We don't exactly know the answer. The ice in the Arctic is diminishing; the ice in the Antarctic is growing, for lack of a better word.”",KY,kyfdociem,"Subcommittee on Energy and Power Hearign, 3/8/11",https://www.gpo.gov/fdsys/pkg/CHRG-112hhrg66704/html/CHRG-112hhrg66704.htm
Thomas Massie,"$88,551",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Thomas_Massie.jpg,"Thomas Massie challenged President Obama to roll out the proof that humans have played a hand in climate change. Massie said he was “disappointed” that the president in his second inaugural address blamed droughts on “human activity” and accused some of “denying the evidence of scientists,” the Washington Times reported. “As somebody with a science-type background, I took offense at that,” Mr. Massie said during a panel meeting billed as “Conversations With Conservatives.” “I would challenge him to show us the linkage — the undeniable linkage — between droughts and the change of weather, and some kind of human activity.”",KY,gpfbeztyu,"Washington Times Inside Politics Blog, 1/22/13",http://www.washingtontimes.com/blog/inside-politics/2013/jan/22/rep-massie-mit-grad-questions-obamas-global-warmin/
Mitch McConnell,"$2,782,770",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mitch_McConnell.jpg,"“For everybody who thinks it’s warming, I can find somebody who thinks it isn’t.” More recently, when asked whether he agreed that human activity was driving climate change, McConnell responded, “I’m not a scientist.”",KY,vgzsewyal,"Cincinatti Inquirer, 3/7/14 ||| ThinkProgress, 10/3/14",http://www.cincinnati.com/story/news/politics/elections/2014/03/07/mcconnell-expect-much-congress-year/6170921/ ||| http://thinkprogress.org/climate/2014/10/03/3575849/not-a-scientist/
Rand Paul,"$437,420",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Rand_Paul.jpg,“Man may have a role in our climate…but I think nature may also have a role.”,KY,afvehxqxn,"MSNBC, 11/11/15",http://www.msnbc.com/msnbc/rand-paul-veers-the-right-climate
Steve Scalise,"$874,684",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Steve_Scalise.jpg,"“While their global warming agenda continues to lose support, it’s ironic that radical environmentalists are at it again, less than a month after NOAA (National Oceanic and Atmospheric Administration), announced the Great Lakes had the most widespread ice coverage in over 35 years. Thirty years ago liberals were using global cooling to push new radical regulations. Then they shifted their focus to global warming in an effort to prop up wave after wave of job-killing regulations that are leading to skyrocketing food and energy costs.”",LA,lqnpkcvas,"The Times-Picayune, 3/31/14",http://www.nola.com/politics/index.ssf/2014/03/un_global_warming_report_says.html
John Fleming,"$763,950",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/John_Fleming.jpg,"“So after all of these years and all of this policy and now cost to government and to free enterprise, to private businesses and individuals we actually find out that all of that policy is based on what perhaps one could say is voodoo science.”",LA,watpxcpcf,"House Committee on Natural Resources hearing, 5/13/15 via The Guardian",http://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/may/21/congress-manufactures-doubt-and-denial-in-climate-change-hearing
Bill Cassidy,"$1,190,320",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Bill_Cassidy.jpg,"During a debate, Cassidy said, “global temperatures have not risen in 15 years.”",LA,zpfkbsguk,"Washington Examiner, 10/14/14",http://www.washingtonexaminer.com/sen.-mary-landrieu-bill-cassidy-offer-opposing-climate-change-views/article/2554808
David Vitter,"$1,363,800",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/David_Vitter.jpg,“I do not think the science clearly supports global warming theory.”,LA,zkavpekqk,"KFLY, 10/28/10",http://www.nola.com/politics/index.ssf/2009/12/rep_scalise_voices_fresh_doubt.html
Bruce Poliquin,"$66,600",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Bruce_Poliquin.jpg,"“Clearly our climate is changing; the question is, is man responsible for that climate change? I personally am suspect.”",ME,fdgljjmvm,"Maine Public Broadcasting Network, 6/4/10",http://www.mpbn.net/News/MPBNNews/tabid/1159/ctl/ViewItem/mid/3762/ItemId/12468/Default.aspx
Andrew Harris,"$164,360",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Andrew_Harris.jpg,"“I believe the actual science is uncertain … We have to understand why it hasn’t; before we spend literally, worldwide, trillions of dollars on this, we should understand exactly what’s happening, and even more importantly, whether … by spending that money, we have a change of affecting it in any significant way. Because I don’t believe we are going to convince the rest of the countries of the world not to use more energy.’”",MD,pazrxnbjp,"Star Democrat, 8/23/14",http://www.stardem.com/news/local_news/article_3e9d58c7-afd2-509d-afe2-7e1850bed9b5.html
Dan Benishek,"$278,075",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Dan_Benishek.jpg,"“'The climate may be changing, but I don’t think man is contributing to it,’ Benishek said. ‘What do you think does it?’ Peterson asked. ‘Well, I think it’s just the natural course of things,’ Benishek said. ‘There is no scientific evidence that shows any of that.’”'",MI,rirxdualj,"ABC News, 10/7/14",http://abc10up.com/benishek-questioned-on-global-warming-climate-change/
Bill Huizenga,"$48,550",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Bill_Huizenga.jpg,"“Today’s global warming doomsayers simply lack the scientific evidence to support their claims. A host of leaders in the scientific community have recognized that the argument for drastic anthropogenic global warming is no longer based on science, but is being driven by irrational fanaticism.”",MI,ibaukgybb,"VoteMI.org, 12/8/10",http://vote-mi.org/Intro.aspx?State=MI&Id=MIHUIZENGABILL
Justin Amash,"$40,000",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Justin_Amash.jpg,"Justin Amash shared an article on Facebook called “Climate change: this is the worst scientific scandal of our generation,” with the caption “The MEDC central planners continue to hand hundreds of millions of your dollars to private energy companies, using ‘climate change’ and ‘economic diversification’ as justification. Only among government officials and their apologists could such a villainous concentration of resources into a single industry be called ""diversification.""",MI,rlboaqrsd,"Justin Amash Facebook, 11/29/09",https://www.facebook.com/justinamash/?fref=nf
Fred Upton,"$1,031,883",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Fred_Upton.jpg,"“We’ve experienced climate change for a long time, highs and lows. We had the coldest winter ever last winter. There was a report out that the Great Lakes are six degrees below what they were a year ago. I don’t know that climate scientists can really predict where we’re headed.”",MI,emtiaqalf,"Michigan Live, 10/17/14",http://www.mlive.com/news/kalamazoo/index.ssf/2014/10/mayday_pac_ad_funders_against.html
Tim Walberg,"$229,720",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Tim_Walberg.jpg,"“I read scientists, editors … an equal number at the very least that say just the opposite that this is something that’s gone on for eons, that we go through these cycles.”",MI,clntjjaua,"Town Hall, 7/25/08",https://www.youtube.com/watch?v=sEKfDBRDmUM
Candice Miller,"$67,200",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Candice_Miller.jpg,"“There is little doubt that the world’s climate is changing, because the climate has always changed. Just ask the dinosaurs or remember the ice age and how huge glaciers melting and moving formed our Great Lakes. The question is whether the current climate change is human-induced.”",MI,jeogzmccl,"Miller, 12/14/09",https://candicemiller.house.gov/media-center/editorials/save-jobs-from-questionable-climate-rules
Erik Paulsen,"$159,699",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Erik_Paulsen.jpg,"Representative Erik Paulsen who, when asked if he believes humans are contributing to global warming, responded, “I’m not smart enough to know.”",MN,dzlpmbcwm,"The New Republic, 4/22/15",https://newrepublic.com/article/121558/what-climate-change-doing-texas-cattle-ranch
Tom Emmer,"$42,800",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Tom_Emmer.jpg,"“Biodiversity, diversity to me means you’ve got to look at both sides. You know what, the empirical evidence does not support this and the other reps that have talked. There is another side. Just because we make these chambers available to Will Steger and the crowd that wants to rely on Al Gore’s climate porn doesn’t mean that that’s the way it is. There is another side to the story, one that we tried to present a couple of months ago, but apparently it’s frowned upon by the folks that are in control so it doesn’t get the same play in this room. Folks, there is another side.”",MN,yvkysngpk,"ThinkProgress, 10/13/10",http://thinkprogress.org/climate/2010/10/13/174814/gop-governor-deniers-ii/
Gregg Harper,"$420,150",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Gregg_Harper.jpg,"“I don’t believe that the science is at all settled on man-made global warming,” Harper said. He has also claimed that data showing global climate change has been “skewed and manipulated.""",MS,llttmtnjd,"Mississippi State University Event, 11/2/12 ||| Washington Examiner, 6/26/14",http://www.youtube.com/watch?v=VGgYk5H1yBo ||| http://www.washingtonexaminer.com/article/2550237
Roger Wicker,"$705,352",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Roger_Wicker.jpg,"Wicker was the only senator to vote against an amendment stating “Climate change is real and not a hoax.” In a statement after the vote Wicker said, “I agree with the more than 31,000 American scientists who do not believe the science on this matter is settled. Scientific research is advanced by asking questions and allowing for multiple viewpoints.”",MS,ebmnqacnt,"Mashable, 1/22/15",http://mashable.com/2015/01/22/roger-wicker-only-no-vote-climate-science/#vs53MWgT0sqw
Ann Wagner,"$244,600",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Ann_Wagner.jpg,“The field of climate science is in its relative infancy and it appears that some within the public policy world have made dubious assessments of scientific information in order to further their own political agenda. Our policy response to this dilemma should not be based on inconsistent and unsound science or driven by the fear of a supposed catastrophe.”,MO,rqjuhucpb,"Riverfront Times, 5/29/13",http://www.riverfronttimes.com/newsblog/2013/05/29/is-congresswoman-ann-wagner-a-climate-change-denier-warns-of-unsound-science
Blaine Luetkemeyer,"$40,550",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Blaine_Luetkemeyer.jpg,"“Folks in Missouri and across the country are tired of this never ending government spending spree, and my goal is to deliver some of our people’s hard-earned money back into their pocketbooks instead of spending it on international junk science… Meanwhile, our very own Environmental Protection Agency recently reported that we are undergoing a period of worldwide cooling.”",MO,htnjmgirh,Luetkemeyer Website,http://luetkemeyer.house.gov/news/documentprint.aspx?DocumentID=279631
Vicky Hartzler,"$86,900",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Vicky_Hartzler.jpg,"Hartzler has tweeted, “Enjoying another beautiful global warming day in Missouri! Skelton and the UN Summit need to quit their dist. of wealth for a hoax.” And “Global warming strikes America! Brrrr!”",MO,tdmadirha,"Twitter, 12/15/09 ||| Twitter, 11/18/14",https://twitter.com/vickyhartzler/status/6709535806 ||| https://twitter.com/rephartzler/status/534688626484183040
Roy Blunt,"$1,356,358",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Roy_Blunt.jpg,“There isn’t any real science to say we are altering the climate path of the earth.”,MO,mywxfhzmx,"Human Events, 4/29/09",http://humanevents.com/2009/04/29/christian-leaders-condemn-hate-crimes-bill/
Ryan Zinke,"$345,986",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Ryan_Zinke.jpg,"“It’s not a hoax, but it’s not proven science either. But you don’t dismantle America’s power and energy on a maybe. We need to be energy independent first. We need to do it better, which we can, but it is not a settled science.”",MT,ksvtmfnje,"ThinkProgress, 10/5/14",http://thinkprogress.org/climate/2014/10/05/3576204/montana-candidate-climate-science/
Steve Daines,"$676,826",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Steve_Daines.jpg,"In a radio interview with Montana Public Radio, Daines admits the climate is changing but questions the impacts by man, that there is “significant debate here,” the “jury is still out,” and brings up the debate of sun/solar cycles versus greenhouse gases.",MT,rauxtwxon,"Montana Public Radio, 12/2/12",http://mtpr.org/post/interview-us-house-candidate-steve-daines
Adrian Smith,"$82,150",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Adrian_Smith.jpg,"In an interview with Nebraska Citizen, Smith was asked if he believes in global warming, to which he responded “No!” The reporter said that Smith believes many of the “facts” about global warming are in dispute.",NE,vrsxvospw,"Nebraska Citizen, 11/22/05",https://web.archive.org/web/20080303130802/http://www.necitizen.com/weblog/2005/11/interview_with_adrian_smith.html
Deb Fischer,"$160,669",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Deb_Fischer.jpg,"When asked if she thinks climate change is real and caused by human activities Fischer responded, “I just don’t get into that whole discussion on it.”",NE,hgixeqnfb,"Omaha World Herald, 8/4/15",http://www.omaha.com/news/nebraska/nebraska-will-challenge-the-epa-emissions-rule-attorney-general-says/article_17ea560e-3a14-11e5-94dd-835d00bd3c6f.html
Mark Amodei,"$49,500",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mark_Amodei.jpg,"“The issue of climate change is very controversial and many scientists disagree as to its causes and how to handle it. I recognize that some scientists believe that global warming is caused by failed environmental practices; however, others argue that these temperature increases would incur regardless due to the warming of the center of the earth. I do not believe it is appropriate for the federal government to advocate one position over the other. Since, we do not know much about long-term climate change, I do agree we must have an unbiased research effort funded by both the government and the private sector to answer the essential questions about climate change.”",NV,vlwqltpli,"Daily Kos, 8/16/13",http://www.dailykos.com/story/2013/08/16/1231627/-Nevada-Rep-Mark-Amodei-R-Challenges-Climate-Change-in-a-Letter-to-a-Constituent
Dean Heller,"$467,534",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Dean_Heller.jpg,"“There always has been [climate change], there always will be,” Heller said, but human contribution to that change is “up for debate.”",NV,ndpojvwvs,"Politico, 1/25/15",http://www.politico.com/story/2015/01/senate-climate-votes-democrats-barbara-boxer-114556
Frank Guinta,"$84,700",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Frank_Guinta.jpg,"“I think people determine the issues most important to them and they want to talk about the economy, jobs and health care. That said the issue of global warming or climate change continues to come up; the bottom line is that the science has not been solidified.”",NH,ilgaeeiuy,"WMUR, 7/17/14",http://www.wmur.com/politics/closeup/closeup-frank-guinta-talks-about-the-campaign/27152204#!boMWcT
Scott Garrett,"$243,800",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Scott_Garrett.jpg,"“The real question that still exists in a lot of people’s minds, experts and non-experts alike, on the area of global warming and what role the government should have in this realm … I’ve heard a number of experts on both sides of the equation on this issue and to me the evidence, the question is still out there.”",NJ,xfmkapnbo,"New Jersey Q&A, 9/30/10",http://blog.northjersey.com/thepoliticalstate/78/congress-qa-climate-change/
Leonard Lance,"$96,950",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Leonard_Lance.jpg,“The disclosure of emails from the CRU is very troubling and merits a thorough and transparent investigation. Clearly there is a strong appearance that important scientific research may have been tainted by politics.”,NJ,ptdmlwxig,"Lance Website, 12/3/09",https://lance.house.gov/newsroom/press-releases/lance-calls-for-an-investigation-into-climategate
Rodney Frelinghuysen,"$76,250",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Rodney_Frelinghuysen.jpg,"“Do I believe in climate change? I do, yeah,’ he told National Journal in 2011. ‘With the weather patterns over the past five years… What causes it? Quite honestly, I don’t know…Humans have some effect on climate change. There’s so many factors.’”",NJ,geqbmnkkr,"Politifact, 5/18/14",http://www.politifact.com/truth-o-meter/statements/2014/may/18/jerry-brown/jerry-brown-says-virtually-no-republican-believes-/
Steve Pearce,"$2,061,593",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Steve_Pearce.jpg,"“I googled this issue a couple of days ago, see that there are 31,000 scientists who say that human action is not causing the global warming at all. And in fact the last 17 years there has not been global warming, the temperature has been very stable for the last 17 years.”",NM,ypjihzuht,"Mother Jones, 10/28/14",http://www.motherjones.com/blue-marble/2014/10/craziest-things-republican-candidates-have-said-about-climate-change-one-video
Peter King,"$121,600",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Peter_King.jpg,"“I don’t think anyone denies humans contribute,” King said. “It’s a question of how much.” [Climatewire, 6/4/15]",NY,abbmvfkgp,"Climatewire, 6/4/15",http://gawker.com/this-snarky-article
Lee Zeldin,"$91,654",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Lee_Zeldin.jpg,"“I think it would be very productive if we could just get to exactly what is really and what is not real, because I think both sides of the climate change debate are filled with people who are stretching truths. I’m not sold yet on the whole argument that we have as serious a problem with climate change as other people.”",NY,xsuimvyaw,"Newsday, 10/28/14",http://www.newsday.com/opinion/tim-bishop-and-lee-zeldin-on-the-issues-1.9497502
John Katko,"$50,350",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/John_Katko.jpg,"“I don’t know if it’s a man-made problem or not,” Katko said. ‘It certainly seems like there have been a lot of changes in the climate lately.”",NY,aienxtzyr,"Richard Hanna op-ed, Syracuse.com, 11/4/15",http://www.syracuse.com/news/index.ssf/2014/07/race_for_congress_where_republican_john_katko_stands_on_the_issues.html
Walter Jones Jr.,"$93,408",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Walter_Jones.jpg,"“However, there is substantial disagreement regarding the extent of this warming, whether it’s caused by human activity or simply nature taking its course, and what solutions, if any, should be implemented. The bottom line is that the scientific community does not speak with one voice on this issue.”",NC,faupdxdur,"Crystal Coast Tea Party, Jones Letter, 12/17/09",https://web.archive.org/web/20130708091857/http://www.crystalcoastteaparty.com/email-from-walter-b-jones-re-global-warming/
Virginia Foxx,"$117,800",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Virginia_Foxx.jpg,"“North Carolina Republican Virginia Foxx referenced books by climate-change skeptics and lamented that some environmentalists ‘think that we, human beings, have more impact on the climate and the world than God does.'”",NC,zefoubjnk,"Public Integrity, 4/6/11",http://www.publicintegrity.org/2011/04/06/3956/climate-facts-and-fancy
Mark Walker,"$6,300",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mark_Walker.jpg,“We can be green without being extreme. Much of the ‘so-called’ science of climate change is contested though it’s made a few politicians quite wealthy. I believe that God provided the earth to us and we have a responsibility to conserve and respect the environment.”,NC,xexasogwg,"Walker for north Carolina, via EMILY's List",http://www.emilyslist.org/news/entry/emilys-list-president-stephanie-schriock-statement-on-results-of-nc-06-runo
David Rouzer,"$79,740",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/David_Rouzer.jpg,"“Well, you know, I don’t necessarily listen to any one person. And I can’t, you know, tick off a whole list of scientists that are pro-sea level rise and a whole list of scientists that aren’t — I’m just coming at it from a common sense standpoint. The earth has been warming and cooling since day one. And you know, the effect on sea level change, what do we know about it?”",NC,arwbghmtw,"PBS, last accessed 2/20/16",http://www.pbs.org/wgbh/frontline/film/climate-of-doubt/transcript/
Richard Hudson,"$196,650",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Richard_Hudson.jpg,"When asked if human activity is contributing to climate change, Hudson responded no.",NC,tcopjlgtu,Project Vote Smart Political Courage Survey,http://votesmart.org/candidate/political-courage-test/136448/richard-hudson/
Robert Pittenger,"$54,650",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Robert_Pittenger.jpg,"“Pittenger doesn’t mind standing his ground, even when it’s lonely. For example, he’s the most prominent skeptic on a legislative commission on climate change. Like a sort of anti-Al Gore, he shows a PowerPoint full of statistics about halocarbons and nitrous oxide, and quotes from scientists who, like him, have tried to debunk the science behind global warming. ‘There are people up there relaxed about the system on both sides of the aisle,’ he said. ‘My job is not to go out there and just ‘kumbaya.'” Pittenger also suggested that snow disproves climate change. “Today, a Congressional hearing on global warming had to be cancelled because of all the March snow outside,” he tweeted.",NC,cjjdkhtnx,"Charlotte Observer, 4/1/08 ||| Robert Pittenger Twitter, 3/6/13",||| http://www.usnews.com/news/articles/2015-12-22/remember-the-congressmen-who-said-global-warming-doesnt-exist-because-its-cold
Patrick McHenry,"$168,750",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Patrick_McHenry.jpg,“I'm not a scientist. It is not for me to determine. It's as simple as that.”,NC,pdqmtnfin,"Citizen-Times, 10/22/14",http://www.citizen-times.com/story/news/local/2014/10/22/macqueen-mchenry-race-features-activist-vs-insider/17717461/
Richard Burr,"$816,078",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Richard_Burr.jpg,"“I have no clue [how much of climate change is attributable to human activity], and I don’t think that science can prove it … I certainly haven’t seen anything that’s conclusive, and anything that’s claimed to be conclusive has proven to be somewhat sketchy.”",NC,tfrbcqeqi,"National Journal, 12/2/11",https://www.nationaljournal.com/energy/2011/12/02/congressional-republicans-their-differing-views-climate-change-pictures
Thom Tillis,"$360,600",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Thom_Tillis.jpg,"“During the first Republican primary debate in North Carolina, the moderator asked all four candidates, including Tillis, ‘Is climate change a fact?’ The questioned prompted some laughter from the audience as well as several candidates. All four then answered simply, ‘no.’”",NC,rpffwrxhd,"ThinkProgress, 4/23/14",http://thinkprogress.org/climate/2014/04/23/3429756/north-carolina-gop-senate-candidates-climate-deniers/
Kevin Cramer,"$646,550",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Kevin_Cramer.jpg,"“These mandates and these wind farms are all based on this fraudulent science from the EPA, meaning their claim that CO2 is a pollutant and is causing global warming. I’m sure you’re familiar with one of the leading climate research centers in the world there at East Anglia University in England, the Hadley Research Centre. The director, Phil Jones, his emails, he admitted that he was falsifying temperature data. The reason he had to do is because was the data was showing the global climate is actually declining in temperature, temperatures were going down. He was overlaying higher temperatures on the real data to show that it was actually rising. We know the globe is cooling. Number one, we know that. So the idea that CO2 is somehow causing global warming is on its face fraudulent.”",ND,areiywhzw,"Hill Heat, 8/7/13",http://www.hillheat.com/articles/2013/08/07/audio-rep-kevin-cramer-r-n-d-believes-global-warming-is-fraudulent-science-to-promote-wind-farms
John Hoeven,"$726,456",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/John_Hoeven.jpg,"“Well, the science shows that there’s warming. There’s different opinions of exactly what’s causing it.”",ND,qmngtgica,Senate Environmetnal and Public Works Committee Hearing,
Steve Chabot,"$237,525",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Steve_Chabot.jpg,"“Despite claims to the contrary, the evidence concerning man-made climate change is far from conclusive. However, what is conclusive is the damage some of the more extreme proposals intended to address climate change, like cap-and-trade, will have on our economy.”",OH,rwlgzfxyn,"Cincinatti.com, 3/27/15",http://www.cincinnati.com/story/news/politics/2014/10/11/climate-can-debate-forever/17137787/
