,name/first,name/middle,name/last,name/official_full,name/nickname,name/suffix,bio/birthday,bio/gender,id/ballotpedia,id/wikipedia,terms/0/address,terms/0/class,terms/0/contact_form,terms/0/district,terms/0/end,terms/0/fax,terms/0/office,terms/0/party,terms/0/phone,terms/0/rss_url,terms/0/start,terms/0/state,terms/0/state_rank,terms/0/type,terms/0/url,terms/1/address,terms/1/class,terms/1/contact_form,terms/1/district,terms/1/end,terms/1/fax,terms/1/office,terms/1/party,terms/1/phone,terms/1/rss_url,terms/1/start,terms/1/state,terms/1/state_rank,terms/1/type,terms/1/url,terms/2/address,terms/2/class,terms/2/contact_form,terms/2/district,terms/2/end,terms/2/fax,terms/2/office,terms/2/party,terms/2/phone,terms/2/rss_url,terms/2/start,terms/2/state,terms/2/state_rank,terms/2/type,terms/2/url,terms/3/address,terms/3/class,terms/3/contact_form,terms/3/district,terms/3/end,terms/3/fax,terms/3/office,terms/3/party,terms/3/phone,terms/3/rss_url,terms/3/start,terms/3/state,terms/3/state_rank,terms/3/type,terms/3/url,terms/4/address,terms/4/class,terms/4/contact_form,terms/4/district,terms/4/end,terms/4/fax,terms/4/office,terms/4/party,terms/4/phone,terms/4/rss_url,terms/4/start,terms/4/state,terms/4/state_rank,terms/4/type,terms/4/url,terms/5/address,terms/5/class,terms/5/contact_form,terms/5/district,terms/5/end,terms/5/fax,terms/5/office,terms/5/party,terms/5/phone,terms/5/rss_url,terms/5/start,terms/5/state,terms/5/state_rank,terms/5/type,terms/5/url,terms/6/address,terms/6/class,terms/6/contact_form,terms/6/district,terms/6/end,terms/6/fax,terms/6/office,terms/6/party,terms/6/phone,terms/6/rss_url,terms/6/start,terms/6/state,terms/6/state_rank,terms/6/type,terms/6/url,terms/7/address,terms/7/class,terms/7/contact_form,terms/7/district,terms/7/end,terms/7/fax,terms/7/office,terms/7/party,terms/7/phone,terms/7/rss_url,terms/7/start,terms/7/state,terms/7/state_rank,terms/7/type,terms/7/url,terms/8/address,terms/8/class,terms/8/contact_form,terms/8/district,terms/8/end,terms/8/fax,terms/8/office,terms/8/party,terms/8/phone,terms/8/rss_url,terms/8/start,terms/8/state,terms/8/state_rank,terms/8/type,terms/8/url,terms/9/address,terms/9/caucus,terms/9/class,terms/9/contact_form,terms/9/district,terms/9/end,terms/9/fax,terms/9/office,terms/9/party,terms/9/phone,terms/9/rss_url,terms/9/start,terms/9/state,terms/9/state_rank,terms/9/type,terms/9/url,terms/10/address,terms/10/class,terms/10/contact_form,terms/10/district,terms/10/end,terms/10/fax,terms/10/office,terms/10/party,terms/10/phone,terms/10/rss_url,terms/10/start,terms/10/state,terms/10/state_rank,terms/10/type,terms/10/url,terms/11/address,terms/11/class,terms/11/contact_form,terms/11/district,terms/11/end,terms/11/fax,terms/11/office,terms/11/party,terms/11/phone,terms/11/rss_url,terms/11/start,terms/11/state,terms/11/state_rank,terms/11/type,terms/11/url,terms/12/address,terms/12/contact_form,terms/12/district,terms/12/end,terms/12/fax,terms/12/office,terms/12/party,terms/12/phone,terms/12/rss_url,terms/12/start,terms/12/state,terms/12/type,terms/12/url,terms/13/address,terms/13/contact_form,terms/13/district,terms/13/end,terms/13/fax,terms/13/office,terms/13/party,terms/13/phone,terms/13/rss_url,terms/13/start,terms/13/state,terms/13/type,terms/13/url,terms/14/address,terms/14/contact_form,terms/14/district,terms/14/end,terms/14/fax,terms/14/office,terms/14/party,terms/14/phone,terms/14/rss_url,terms/14/start,terms/14/state,terms/14/type,terms/14/url,terms/15/address,terms/15/contact_form,terms/15/district,terms/15/end,terms/15/fax,terms/15/office,terms/15/party,terms/15/phone,terms/15/rss_url,terms/15/start,terms/15/state,terms/15/type,terms/15/url,terms/16/address,terms/16/contact_form,terms/16/district,terms/16/end,terms/16/fax,terms/16/office,terms/16/party,terms/16/phone,terms/16/rss_url,terms/16/start,terms/16/state,terms/16/type,terms/16/url,terms/17/address,terms/17/contact_form,terms/17/district,terms/17/end,terms/17/fax,terms/17/office,terms/17/party,terms/17/phone,terms/17/rss_url,terms/17/start,terms/17/state,terms/17/type,terms/17/url,terms/18/address,terms/18/contact_form,terms/18/district,terms/18/end,terms/18/fax,terms/18/office,terms/18/party,terms/18/phone,terms/18/rss_url,terms/18/start,terms/18/state,terms/18/type,terms/18/url,terms/19/address,terms/19/contact_form,terms/19/district,terms/19/end,terms/19/fax,terms/19/office,terms/19/party,terms/19/phone,terms/19/rss_url,terms/19/start,terms/19/state,terms/19/type,terms/19/url,terms/20/address,terms/20/class,terms/20/contact_form,terms/20/district,terms/20/end,terms/20/fax,terms/20/office,terms/20/party,terms/20/phone,terms/20/rss_url,terms/20/start,terms/20/state,terms/20/state_rank,terms/20/type,terms/20/url,terms/21/address,terms/21/class,terms/21/contact_form,terms/21/district,terms/21/end,terms/21/fax,terms/21/office,terms/21/party,terms/21/phone,terms/21/rss_url,terms/21/start,terms/21/state,terms/21/state_rank,terms/21/type,terms/21/url,terms/22/address,terms/22/contact_form,terms/22/district,terms/22/end,terms/22/fax,terms/22/office,terms/22/party,terms/22/phone,terms/22/rss_url,terms/22/start,terms/22/state,terms/22/type,terms/22/url,terms/23/address,terms/23/contact_form,terms/23/district,terms/23/end,terms/23/fax,terms/23/office,terms/23/party,terms/23/phone,terms/23/start,terms/23/state,terms/23/type,terms/23/url,terms/24/address,terms/24/contact_form,terms/24/district,terms/24/end,terms/24/fax,terms/24/office,terms/24/party,terms/24/phone,terms/24/rss_url,terms/24/start,terms/24/state,terms/24/type,terms/24/url,terms/25/address,terms/25/contact_form,terms/25/district,terms/25/end,terms/25/fax,terms/25/office,terms/25/party,terms/25/phone,terms/25/rss_url,terms/25/start,terms/25/state,terms/25/type,terms/25/url
199,John,Paul,Kline,John Kline,,,9/6/47,M,John Kline,John Kline (politician),,,,2.0,1/3/05,,,Republican,,,1/7/03,MN,,rep,http://www.house.gov/kline,,,,2.0,1/3/07,,,Republican,,,1/4/05,MN,,rep,http://www.house.gov/kline,,,,2.0,1/3/09,,,Republican,,,1/4/07,MN,,rep,http://kline.house.gov,,,,2.0,1/3/11,,,Republican,,,1/6/09,MN,,rep,http://kline.house.gov,2439 Rayburn HOB; Washington DC 20515-2302,,http://kline.house.gov/index.cfm?FuseAction=ContactInformation.ContactForm&amp;To=mn02hwyr@housemail.house.gov&amp;CFID=22307054&amp;CFTOKEN=28173710,2.0,1/3/13,202-225-2595,2439 Rayburn House Office Building,Republican,202-225-2271,,1/5/11,MN,,rep,http://kline.house.gov,2439 Rayburn HOB; Washington DC 20515-2302,,http://kline.house.gov/contact/,2.0,1/3/15,202-225-2595,2439 Rayburn House Office Building,Republican,202-225-2271,http://kline.house.gov/common/rss/?rss=47,1/3/13,MN,,rep,http://kline.house.gov,2439 Rayburn HOB; Washington DC 20515-2302,,http://kline.house.gov/contact/,2.0,1/3/17,202-225-2595,2439 Rayburn House Office Building,Republican,202-225-2271,http://kline.house.gov/common/rss/?rss=47,1/6/15,MN,,rep,http://kline.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,RaÌÄå¼l,R.,Labrador,RaÌÄå¼l R. Labrador,,,12/8/67,M,Raul Labrador,RaÌÄå¼l Labrador,1523 Longworth HOB; Washington DC 20515-1201,,,1.0,1/3/13,202-225-3029,1523 Longworth House Office Building,Republican,202-225-6611,,1/5/11,ID,,rep,http://labrador.house.gov/,1523 Longworth HOB; Washington DC 20515-1201,,https://labradorforms.house.gov/email-me,1.0,1/3/15,202-225-3029,1523 Longworth House Office Building,Republican,202-225-6611,http://labrador.house.gov/common/rss//index.cfm?rss=49,1/3/13,ID,,rep,http://labrador.house.gov,1523 Longworth HOB; Washington DC 20515-1201,,https://labradorforms.house.gov/email-me,1.0,1/3/17,202-225-3029,1523 Longworth House Office Building,Republican,202-225-6611,http://labrador.house.gov/common/rss//index.cfm?rss=49,1/6/15,ID,,rep,http://labrador.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Doug,,Lamborn,Doug Lamborn,,,5/24/54,M,Doug Lamborn,Doug Lamborn,,,,5.0,1/3/09,,,Republican,,,1/4/07,CO,,rep,http://lamborn.house.gov,,,,5.0,1/3/11,,,Republican,,,1/6/09,CO,,rep,http://lamborn.house.gov,437 Cannon HOB; Washington DC 20515-0605,,http://lamborn.house.gov/ZipAuth.aspx,5.0,1/3/13,202-226-2638,437 Cannon House Office Building,Republican,202-225-4422,,1/5/11,CO,,rep,http://lamborn.house.gov,2402 Rayburn HOB; Washington DC 20515-0605,,https://lambornforms.house.gov/contact-form,5.0,1/3/15,202-226-2638,2402 Rayburn House Office Building,Republican,202-225-4422,http://lamborn.house.gov/news-rss-graphic/news-rss-graphic/,1/3/13,CO,,rep,http://lamborn.house.gov,2402 Rayburn HOB; Washington DC 20515-0605,,https://lambornforms.house.gov/contact-form,5.0,1/3/17,202-226-2638,2402 Rayburn House Office Building,Republican,202-225-4422,http://lamborn.house.gov/news-rss-graphic/news-rss-graphic/,1/6/15,CO,,rep,http://lamborn.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Leonard,,Lance,Leonard Lance,,,6/25/52,M,,Leonard Lance,,,,7.0,1/3/11,,,Republican,,,1/6/09,NJ,,rep,http://lance.house.gov,426 Cannon HOB; Washington DC 20515-3007,,https://forms.house.gov/lance/contact-form.shtml,7.0,1/3/13,202-225-9460,426 Cannon House Office Building,Republican,202-225-5361,,1/5/11,NJ,,rep,http://lance.house.gov,133 Cannon HOB; Washington DC 20515-3007,,https://lance.house.gov/contact-me1,7.0,1/3/15,202-225-9460,133 Cannon House Office Building,Republican,202-225-5361,http://lance.house.gov/rss-button/rss-button/,1/3/13,NJ,,rep,http://lance.house.gov,2352 Rayburn HOB; Washington DC 20515-3007,,https://lance.house.gov/contact-me1,7.0,1/3/17,202-225-9460,2352 Rayburn House Office Building,Republican,202-225-5361,http://lance.house.gov/rss-button/rss-button/,1/6/15,NJ,,rep,http://lance.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,James,R.,Langevin,James R. Langevin,Jim,,4/22/64,M,Jim Langevin,James Langevin,,,,2.0,1/3/03,,,Democrat,,,1/3/01,RI,,rep,,,,,2.0,1/3/05,,,Democrat,,,1/7/03,RI,,rep,http://www.house.gov/langevin,,,,2.0,1/3/07,,,Democrat,,,1/4/05,RI,,rep,http://www.house.gov/langevin,,,,2.0,1/3/09,,,Democrat,,,1/4/07,RI,,rep,http://www.house.gov/langevin,,,,2.0,1/3/11,,,Democrat,,,1/6/09,RI,,rep,http://www.house.gov/langevin,109 Cannon HOB; Washington DC 20515-3902,,http://langevin.house.gov/comments.shtml,2.0,1/3/13,202-225-5976,109 Cannon House Office Building,Democrat,202-225-2735,,1/5/11,RI,,rep,http://www.house.gov/langevin,109 Cannon HOB; Washington DC 20515-3902,,https://langevin.house.gov/contact-me/email-me,2.0,1/3/15,202-225-5976,109 Cannon House Office Building,Democrat,202-225-2735,http://langevin.house.gov/rss.xml,1/3/13,RI,,rep,http://langevin.house.gov,2077 Rayburn HOB; Washington DC 20515-3902,,https://langevin.house.gov/contact-me/email-me,2.0,1/3/17,202-225-5976,2077 Rayburn House Office Building,Democrat,202-225-2735,http://langevin.house.gov/rss.xml,1/6/15,RI,,rep,http://langevin.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,James,,Lankford,James Lankford,,,3/4/68,M,James Lankford,James Lankford,509 Cannon HOB; Washington DC 20515-3605,,,5.0,1/3/13,202-226-1463,509 Cannon House Office Building,Republican,202-225-2132,,1/5/11,OK,,rep,http://lankford.house.gov/,228 Cannon HOB; Washington DC 20515-3605,,https://lankford.house.gov/contact-me/,5.0,1/3/15,202-226-1463,228 Cannon House Office Building,Republican,202-225-2132,http://lankford.house.gov/rss.xml,1/3/13,OK,,rep,http://lankford.house.gov,316 Hart Senate Office Building Washington DC 20510,3.0,,,1/3/17,,316 Hart Senate Office Building,Republican,202-224-5754,,1/6/15,OK,junior,sen,http://www.lankford.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Rick,,Larsen,Rick Larsen,,,6/15/65,M,,Rick Larsen,,,,2.0,1/3/03,,,Democrat,,,1/3/01,WA,,rep,,,,,2.0,1/3/05,,,Democrat,,,1/7/03,WA,,rep,http://www.house.gov/larsen,,,,2.0,1/3/07,,,Democrat,,,1/4/05,WA,,rep,http://www.house.gov/larsen,,,,2.0,1/3/09,,,Democrat,,,1/4/07,WA,,rep,http://www.house.gov/larsen,,,,2.0,1/3/11,,,Democrat,,,1/6/09,WA,,rep,http://www.house.gov/larsen,108 Cannon HOB; Washington DC 20515-4702,,http://www.house.gov/larsen/contact/,2.0,1/3/13,202-225-4420,108 Cannon House Office Building,Democrat,202-225-2605,,1/5/11,WA,,rep,http://www.house.gov/larsen,2113 Rayburn HOB; Washington DC 20515-4702,,http://larsen.house.gov/contact-rick/email-rick,2.0,1/3/15,202-225-4420,2113 Rayburn House Office Building,Democrat,202-225-2605,http://larsen.house.gov/rss.xml,1/3/13,WA,,rep,http://larsen.house.gov,2113 Rayburn HOB; Washington DC 20515-4702,,http://larsen.house.gov/contact-rick/email-rick,2.0,1/3/17,202-225-4420,2113 Rayburn House Office Building,Democrat,202-225-2605,http://larsen.house.gov/rss.xml,1/6/15,WA,,rep,http://larsen.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,John,B.,Larson,John B. Larson,,,7/22/48,M,John B. Larson,John B. Larson,,,,1.0,1/3/01,,,Democrat,,,1/6/99,CT,,rep,,,,,1.0,1/3/03,,,Democrat,,,1/3/01,CT,,rep,,,,,1.0,1/3/05,,,Democrat,,,1/7/03,CT,,rep,http://www.house.gov/larson,,,,1.0,1/3/07,,,Democrat,,,1/4/05,CT,,rep,http://www.house.gov/larson,,,,1.0,1/3/09,,,Democrat,,,1/4/07,CT,,rep,http://www.house.gov/larson,,,,1.0,1/3/11,,,Democrat,,,1/6/09,CT,,rep,http://www.house.gov/larson,1501 Longworth HOB; Washington DC 20515-0701,,http://www.house.gov/writerep,1.0,1/3/13,202-225-1031,1501 Longworth House Office Building,Democrat,202-225-2265,,1/5/11,CT,,rep,http://www.house.gov/larson,1501 Longworth HOB; Washington DC 20515-0701,,https://forms.house.gov/larson/contact_new.html,1.0,1/3/15,202-225-1031,1501 Longworth House Office Building,Democrat,202-225-2265,http://www.larson.house.gov/index.php?format=feed&amp;type=rss,1/3/13,CT,,rep,http://www.larson.house.gov,1501 Longworth HOB; Washington DC 20515-0701,,https://forms.house.gov/larson/contact_new.html,1.0,1/3/17,202-225-1031,1501 Longworth House Office Building,Democrat,202-225-2265,http://www.larson.house.gov/index.php?format=feed&amp;type=rss,1/6/15,CT,,rep,http://larson.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Robert,E.,Latta,Robert E. Latta,,,4/18/56,M,Robert E. Latta,Bob Latta,,,,5.0,1/3/09,,,Republican,,,12/13/07,OH,,rep,http://latta.house.gov/,,,,5.0,1/3/11,,,Republican,,,1/6/09,OH,,rep,http://latta.house.gov/,1323 Longworth HOB; Washington DC 20515-3505,,http://latta.house.gov/contactform_zipcheck.shtml,5.0,1/3/13,202-225-1985,1323 Longworth House Office Building,Republican,202-225-6405,,1/5/11,OH,,rep,http://latta.house.gov/,2448 Rayburn HOB; Washington DC 20515-3505,,https://latta.house.gov/contact/contactform.htm,5.0,1/3/15,202-225-1985,2448 Rayburn House Office Building,Republican,202-225-6405,http://latta.house.gov/news/rss.aspx,1/3/13,OH,,rep,http://latta.house.gov,2448 Rayburn HOB; Washington DC 20515-3505,,https://latta.house.gov/contact/contactform.htm,5.0,1/3/17,202-225-1985,2448 Rayburn House Office Building,Republican,202-225-6405,http://latta.house.gov/news/rss.aspx,1/6/15,OH,,rep,http://latta.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Patrick,J.,Leahy,Patrick J. Leahy,,,3/31/40,M,Patrick Leahy,Patrick Leahy,,3.0,,,1/3/81,,,Democrat,,,1/14/75,VT,,sen,,,3.0,,,1/3/87,,,Democrat,,,1/5/81,VT,,sen,,,3.0,,,1/3/93,,,Democrat,,,1/6/87,VT,,sen,,,3.0,,,1/3/99,,,Democrat,,,1/5/93,VT,,sen,,,3.0,,,1/3/05,,,Democrat,,,1/6/99,VT,,sen,http://leahy.senate.gov/,,3.0,,,1/3/11,,,Democrat,,,1/4/05,VT,,sen,http://leahy.senate.gov/,437 Russell Senate Office Building Washington DC 20510,3.0,https://www.leahy.senate.gov/contact/,,1/3/17,202-224-3479,437 Russell Senate Office Building,Democrat,202-224-4242,http://www.leahy.senate.gov/rss/feeds/press/,1/5/11,VT,senior,sen,https://www.leahy.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Barbara,,Lee,Barbara Lee,,,7/16/46,F,,Barbara Lee,,,,9.0,1/3/99,,,Democrat,,,4/7/98,CA,,rep,,,,,9.0,1/3/01,,,Democrat,,,1/6/99,CA,,rep,,,,,9.0,1/3/03,,,Democrat,,,1/3/01,CA,,rep,,,,,9.0,1/3/05,,,Democrat,,,1/7/03,CA,,rep,http://www.house.gov/lee,,,,9.0,1/3/07,,,Democrat,,,1/4/05,CA,,rep,http://www.house.gov/lee,,,,9.0,1/3/09,,,Democrat,,,1/4/07,CA,,rep,http://lee.house.gov,,,,9.0,1/3/11,,,Democrat,,,1/6/09,CA,,rep,http://lee.house.gov,2267 Rayburn HOB; Washington DC 20515-0509,,"http://lee.house.gov/?sectionid=44&amp;sectiontree=18,44",9.0,1/3/13,202-225-9817,2267 Rayburn House Office Building,Democrat,202-225-2661,,1/5/11,CA,,rep,http://lee.house.gov,2267 Rayburn HOB; Washington DC 20515-0513,,http://lee.house.gov/contact-the-office/email-me,13.0,1/3/15,202-225-9817,2267 Rayburn House Office Building,Democrat,202-225-2661,http://lee.house.gov/rss.xml,1/3/13,CA,,rep,http://lee.house.gov,2267 Rayburn HOB; Washington DC 20515-0513,,,http://lee.house.gov/contact-the-office/email-me,13.0,1/3/17,202-225-9817,2267 Rayburn House Office Building,Democrat,202-225-2661,http://lee.house.gov/rss.xml,1/6/15,CA,,rep,http://lee.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Mike,,Lee,Mike Lee,,,6/4/71,M,Mike Lee,Mike Lee (U.S. politician),361A Russell Senate Office Building Washington DC 20510,3.0,http://www.lee.senate.gov/public/index.cfm/contact,,1/3/17,,361a Russell Senate Office Building,Republican,202-224-5444,http://www.lee.senate.gov/public/index.cfm/rss/feed,1/5/11,UT,junior,sen,http://www.lee.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Sander,M.,Levin,Sander M. Levin,,,9/6/31,M,Sander Levin,Sander Levin,,,,17.0,1/3/85,,,Democrat,,,1/3/83,MI,,rep,,,,,17.0,1/3/87,,,Democrat,,,1/3/85,MI,,rep,,,,,17.0,1/3/89,,,Democrat,,,1/6/87,MI,,rep,,,,,17.0,1/3/91,,,Democrat,,,1/3/89,MI,,rep,,,,,17.0,1/3/93,,,Democrat,,,1/3/91,MI,,rep,,,,,12.0,1/3/95,,,Democrat,,,1/5/93,MI,,rep,,,,,12.0,1/3/97,,,Democrat,,,1/4/95,MI,,rep,,,,,12.0,1/3/99,,,Democrat,,,1/7/97,MI,,rep,,,,,12.0,1/3/01,,,Democrat,,,1/6/99,MI,,rep,,,,,,12.0,1/3/03,,,Democrat,,,1/3/01,MI,,rep,,,,,12.0,1/3/05,,,Democrat,,,1/7/03,MI,,rep,http://www.house.gov/levin,,,,12.0,1/3/07,,,Democrat,,,1/4/05,MI,,rep,http://www.house.gov/levin,,,12.0,1/3/09,,,Democrat,,,1/4/07,MI,rep,http://www.house.gov/levin,,,12.0,1/3/11,,,Democrat,,,1/6/09,MI,rep,http://www.house.gov/levin,1236 Longworth HOB; Washington DC 20515-2212,http://www.house.gov/levin/levin_contact_email.shtml,12.0,1/3/13,202-226-1033,1236 Longworth House Office Building,Democrat,202-225-4961,,1/5/11,MI,rep,http://www.house.gov/levin,1236 Longworth HOB; Washington DC 20515-2209,https://levin.house.gov/contact-me/email-me,9.0,1/3/15,202-226-1033,1236 Longworth House Office Building,Democrat,202-225-4961,http://levin.house.gov/rss.xml,1/3/13,MI,rep,http://levin.house.gov,1236 Longworth HOB; Washington DC 20515-2209,https://levin.house.gov/contact-me/email-me,9.0,1/3/17,202-226-1033,1236 Longworth House Office Building,Democrat,202-225-4961,http://levin.house.gov/rss.xml,1/6/15,MI,rep,http://levin.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
