Representative,State,District,BirthDate,DateInOffice,AgeAtTakingOfficeYear,AgeAtTakingOfficeDay,YearsInOffice,Party,BelieveClimateChange,CurrentAge,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfSenateWin,PercentMarginOfPresidentialCandidateVictory
Peter Welch,Vermont,At-large,1.,,,,,Democratic,,,,,,,,,
Rob Wittman,Virginia,1.,,,,,,Republican,,,,,,,,,
Scott Rigell,Virginia,2.,,,,,,Republican,,,,,,,,,
Bobby Scott,Virginia,3.,,,,,,Democratic,,,,,,,,,
Randy Forbes,Virginia,4.,,,,,,Republican,,,,,,,,,
Robert Hurt,Virginia,5.,,,,,,Republican,,,,,,,,,
Bob Goodlatte,Virginia,6.,,,,,,Republican,,,,,,,,,
Dave Brat,Virginia,7.,,,,,,Republican,,,,,,,,,
Don Beyer,Virginia,8.,,,,,,Democratic,,,,,,,,,
Morgan Griffith,Virginia,9.,,,,,,Republican,,,,,,,,,
Barbara Comstock,Virginia,10.,,,,,,Republican,,,,,,,,,
Gerry Connolly,Virginia,11.,,,,,,Democratic,,,,,,,,,
Suzan DelBene,Washington,1.,,,,,,Democratic,,,,,,,,,
Rick Larsen,Washington,2.,,,,,,Democratic,,,,,,,,,
Jaime Herrera Beutler,Washington,3.,,,,,,Republican,,,,,,,,,
Dan Newhouse,Washington,4.,,,,,,Republican,,,,,,,,,
Cathy McMorris Rodgers,Washington,5.,,,,,,Republican,,,,,,,,,
Derek Kilmer,Washington,6.,,,,,,Democratic,,,,,,,,,
Jim McDermott,Washington,7.,,,,,,Democratic,,,,,,,,,
Dave Reichert,Washington,8.,,,,,,Republican,,,,,,,,,
Adam Smith,Washington,9.,,,,,,Democratic,,,,,,,,,
Dennis Heck,Washington,10.,,,,,,Democratic,,,,,,,,,
David McKinley,West Virginia,1.,,,,,,Republican,,,,,,,,,
Alex Mooney,West Virginia,2.,,,,,,Republican,,,,,,,,,
Evan Jenkins,West Virginia,3.,,,,,,Republican,,,,,,,,,
Paul Ryan,Wisconsin,1.,,,,,,Republican,,,,,,,,,
Mark Pocan,Wisconsin,2.,,,,,,Democratic,,,,,,,,,
Ron Kind,Wisconsin,3.,,,,,,Democratic,,,,,,,,,
Gwen Moore,Wisconsin,4.,,,,,,Democratic,,,,,,,,,
Jim Sensenbrenner,Wisconsin,5.,,,,,,Republican,,,,,,,,,
Glenn Grothman,Wisconsin,6.,,,,,,Republican,,,,,,,,,
Sean Duffy,Wisconsin,7.,,,,,,Republican,,,,,,,,,
Reid Ribble,Wisconsin,8.,,,,,,Republican,,,,,,,,,
Cynthia Lummis,Wyoming,At-large,1.,,,,,Republican,,,,,,,,,
