id/wikipedia,id/ballotpedia,name/first,name/last,name/official_full,bio/birthday,bio/gender,terms/0/type,terms/0/start,terms/0/end,terms/0/state,terms/0/district,terms/0/party,terms/1/type,terms/1/start,terms/1/end,terms/1/state,terms/1/district,terms/1/party,terms/2/type,terms/2/start,terms/2/end,terms/2/state,terms/2/district,terms/2/party,terms/3/type,terms/3/start,terms/3/end,terms/3/state,terms/3/district,terms/3/party,terms/4/type,terms/4/start,terms/4/end,terms/4/state,terms/4/district,terms/4/party,terms/5/type,terms/5/start,terms/5/end,terms/5/state,terms/5/district,terms/5/party,terms/5/url,terms/6/type,terms/6/start,terms/6/end,terms/6/state,terms/6/district,terms/6/party,terms/6/url,terms/7/type,terms/7/start,terms/7/end,terms/7/state,terms/7/class,terms/7/party,terms/7/url,terms/7/address,terms/7/phone,terms/7/fax,terms/7/contact_form,terms/7/office,terms/8/type,terms/8/start,terms/8/end,terms/8/state,terms/8/party,terms/8/class,terms/8/url,terms/8/address,terms/8/phone,terms/8/fax,terms/8/contact_form,terms/8/office,terms/8/state_rank,terms/8/rss_url,terms/1/class,terms/1/url,terms/2/class,terms/2/url,terms/2/address,terms/2/phone,terms/2/fax,terms/2/contact_form,terms/2/office,terms/3/class,terms/3/url,terms/3/address,terms/3/phone,terms/3/fax,terms/3/contact_form,terms/3/office,terms/3/state_rank,terms/3/rss_url,name/middle,terms/7/district,terms/8/district,terms/9/type,terms/9/start,terms/9/end,terms/9/state,terms/9/district,terms/9/party,terms/9/url,terms/10/type,terms/10/start,terms/10/end,terms/10/state,terms/10/class,terms/10/party,terms/10/url,terms/10/address,terms/10/phone,terms/10/fax,terms/10/contact_form,terms/10/office,terms/11/type,terms/11/start,terms/11/end,terms/11/state,terms/11/party,terms/11/class,terms/11/url,terms/11/address,terms/11/phone,terms/11/fax,terms/11/contact_form,terms/11/office,terms/11/state_rank,terms/11/rss_url,terms/5/class,terms/6/class,terms/6/address,terms/6/phone,terms/6/fax,terms/6/contact_form,terms/6/office,terms/7/state_rank,terms/7/rss_url,name/nickname,name/suffix,terms/0/class,terms/0/url,terms/0/address,terms/0/phone,terms/0/fax,terms/0/contact_form,terms/0/office,terms/1/address,terms/1/phone,terms/1/fax,terms/1/contact_form,terms/1/office,terms/1/state_rank,terms/1/rss_url,terms/4/class,terms/4/url,terms/4/address,terms/4/phone,terms/4/fax,terms/4/contact_form,terms/4/office,terms/4/state_rank,terms/4/rss_url,terms/5/address,terms/5/phone,terms/5/fax,terms/5/contact_form,terms/5/office,terms/6/state_rank,terms/6/rss_url,terms/9/class,terms/9/address,terms/9/phone,terms/9/fax,terms/9/contact_form,terms/9/office,terms/9/state_rank,terms/9/rss_url,terms/9/caucus,terms/2/state_rank,terms/2/rss_url,terms/10/state_rank,terms/10/rss_url,terms/5/state_rank,terms/5/rss_url,terms/0/state_rank,terms/0/rss_url,terms/10/district,terms/11/district,terms/12/type,terms/12/start,terms/12/end,terms/12/state,terms/12/district,terms/12/party,terms/12/url,terms/13/type,terms/13/start,terms/13/end,terms/13/state,terms/13/district,terms/13/party,terms/13/url,terms/13/address,terms/13/phone,terms/13/fax,terms/13/contact_form,terms/13/office,terms/14/type,terms/14/start,terms/14/end,terms/14/state,terms/14/party,terms/14/district,terms/14/url,terms/14/address,terms/14/phone,terms/14/fax,terms/14/contact_form,terms/14/office,terms/14/rss_url,terms/15/type,terms/15/start,terms/15/end,terms/15/state,terms/15/party,terms/15/district,terms/15/url,terms/15/address,terms/15/phone,terms/15/fax,terms/15/contact_form,terms/15/office,terms/15/rss_url,terms/16/type,terms/16/start,terms/16/end,terms/16/state,terms/16/district,terms/16/party,terms/17/type,terms/17/start,terms/17/end,terms/17/state,terms/17/district,terms/17/party,terms/18/type,terms/18/start,terms/18/end,terms/18/state,terms/18/district,terms/18/party,terms/19/type,terms/19/start,terms/19/end,terms/19/state,terms/19/district,terms/19/party,terms/19/url,terms/20/type,terms/20/start,terms/20/end,terms/20/state,terms/20/district,terms/20/party,terms/20/url,terms/21/type,terms/21/start,terms/21/end,terms/21/state,terms/21/district,terms/21/party,terms/21/url,terms/22/type,terms/22/start,terms/22/end,terms/22/state,terms/22/district,terms/22/party,terms/22/url,terms/23/type,terms/23/start,terms/23/end,terms/23/state,terms/23/district,terms/23/party,terms/23/url,terms/23/address,terms/23/phone,terms/23/fax,terms/23/contact_form,terms/23/office,terms/24/type,terms/24/start,terms/24/end,terms/24/state,terms/24/party,terms/24/district,terms/24/url,terms/24/address,terms/24/phone,terms/24/fax,terms/24/contact_form,terms/24/office,terms/24/rss_url,terms/25/type,terms/25/start,terms/25/end,terms/25/state,terms/25/party,terms/25/district,terms/25/url,terms/25/address,terms/25/phone,terms/25/fax,terms/25/contact_form,terms/25/office,terms/25/rss_url,terms/12/address,terms/12/phone,terms/12/fax,terms/12/contact_form,terms/12/office,terms/12/rss_url,terms/13/rss_url,terms/16/url,terms/16/address,terms/16/phone,terms/16/fax,terms/16/contact_form,terms/16/office,terms/16/rss_url,terms/17/url,terms/17/address,terms/17/phone,terms/17/fax,terms/17/contact_form,terms/17/office,terms/17/rss_url,terms/18/url,terms/18/address,terms/18/phone,terms/18/fax,terms/18/contact_form,terms/18/office,terms/19/address,terms/19/phone,terms/19/fax,terms/19/contact_form,terms/19/office,terms/19/rss_url,terms/20/class,terms/20/state_rank,terms/20/phone,terms/20/office,terms/20/address,terms/20/contact_form,terms/21/class,terms/21/state_rank,terms/21/phone,terms/21/office,terms/21/address,terms/21/contact_form,terms/20/fax,terms/21/fax,terms/21/rss_url,terms/22/address,terms/22/phone,terms/22/fax,terms/22/contact_form,terms/22/office,terms/22/rss_url,terms/18/rss_url,terms/20/rss_url
Hank Johnson,"Henry C. Johnson, Jr.",Henry,Johnson,"Henry C. ""Hank"" Johnson Jr.",10/2/54,M,rep,1/4/07,1/3/09,GA,4,Democrat,rep,1/6/09,1/3/11,GA,4,Democrat,rep,1/5/11,1/3/13,GA,4,Democrat,rep,1/3/13,1/3/15,GA,4,Democrat,rep,1/6/15,1/3/17,GA,4,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hankjohnson.house.gov,,http://hankjohnson.house.gov,1427 Longworth HOB; Washington DC 20515-1004,202-225-1605,202-226-0691,http://hankjohnson.house.gov/contact_hank_write.shtml,1427 Longworth House Office Building,,http://hankjohnson.house.gov,2240 Rayburn HOB; Washington DC 20515-1004,202-225-1605,202-226-0691,https://hankjohnson.house.gov/contact-me/email-me,2240 Rayburn House Office Building,,http://hankjohnson.house.gov/rss.xml,C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hank,Jr.,,http://hankjohnson.house.gov,,,,,,,,,,,,,,http://hankjohnson.house.gov,2240 Rayburn HOB; Washington DC 20515-1004,202-225-1605,202-226-0691,https://hankjohnson.house.gov/contact-me/email-me,2240 Rayburn House Office Building,,http://hankjohnson.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Johnson (U.S. politician),Ron Johnson (Wisconsin),Ron,Johnson,Ron Johnson,4/8/55,M,sen,1/5/11,1/3/17,WI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,http://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,202-224-5323,920-230-7262,http://www.ronjohnson.senate.gov/public/index.cfm/contact,328 Hart Senate Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senior,http://www.ronjohnson.senate.gov/public/index.cfm/rss/feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Johnson,,Sam,Johnson,Sam Johnson,10/11/30,M,rep,1/3/91,1/3/93,TX,3,Republican,rep,1/5/93,1/3/95,TX,3,Republican,rep,1/4/95,1/3/97,TX,3,Republican,rep,1/7/97,1/3/99,TX,3,Republican,rep,1/6/99,1/3/01,TX,3,Republican,rep,1/3/01,1/3/03,TX,3,Republican,,rep,1/7/03,1/3/05,TX,3,Republican,http://www.house.gov/samjohnson,rep,1/4/05,1/3/07,TX,,Republican,http://www.house.gov/samjohnson,,,,,,rep,1/4/07,1/3/09,TX,Republican,,http://www.house.gov/samjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,Robert,3,3,rep,1/6/09,1/3/11,TX,3,Republican,http://www.house.gov/samjohnson,rep,1/5/11,1/3/13,TX,,Republican,http://www.house.gov/samjohnson,1211 Longworth HOB; Washington DC 20515-4303,202-225-4201,202-225-1485,http://www.house.gov/formsamjohnson/IMA/issue.htm,1211 Longworth House Office Building,rep,1/3/13,1/3/15,TX,Republican,,http://samjohnson.house.gov,1211 Longworth HOB; Washington DC 20515-4303,202-225-4201,202-225-1485,http://samjohnson.house.gov/contact/,1211 Longworth House Office Building,,http://samjohnson.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,rep,1/6/15,1/3/17,TX,3,Republican,http://samjohnson.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304 Rayburn HOB; Washington DC 20515-4303,202-225-4201,202-225-1485,http://samjohnson.house.gov/contact/,2304 Rayburn House Office Building,http://samjohnson.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter B. Jones Jr.,Walter B. Jones,Walter,Jones,Walter B. Jones,2/10/43,M,rep,1/4/95,1/3/97,NC,3,Republican,rep,1/7/97,1/3/99,NC,3,Republican,rep,1/6/99,1/3/01,NC,3,Republican,rep,1/3/01,1/3/03,NC,3,Republican,rep,1/7/03,1/3/05,NC,3,Republican,rep,1/4/05,1/3/07,NC,3,Republican,http://jones.house.gov,rep,1/4/07,1/3/09,NC,3,Republican,http://jones.house.gov,rep,1/6/09,1/3/11,NC,,Republican,http://jones.house.gov,,,,,,rep,1/5/11,1/3/13,NC,Republican,,http://jones.house.gov,2333 Rayburn HOB; Washington DC 20515-3303,202-225-3415,202-225-3286,http://jones.house.gov/contact_form_email.cfm,2333 Rayburn House Office Building,,,,,,,,,,,,,,,,,,,,,B.,3,3,rep,1/3/13,1/3/15,NC,3,Republican,http://jones.house.gov,rep,1/6/15,1/3/17,NC,,Republican,http://jones.house.gov,2333 Rayburn HOB; Washington DC 20515-3303,202-225-3415,202-225-3286,https://jones.house.gov/contact-me/email-me,2333 Rayburn House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,Jr.,,,,,,,,,,,,,,,,http://jones.house.gov,,,,,,,,,,,,,,,,2333 Rayburn HOB; Washington DC 20515-3303,202-225-3415,202-225-3286,https://jones.house.gov/contact-me/email-me,2333 Rayburn House Office Building,,http://jones.house.gov/rss.xml,,,,,http://jones.house.gov/rss.xml,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jordan (U.S. politician),Jim Jordan,Jim,Jordan,Jim Jordan,2/17/64,M,rep,1/4/07,1/3/09,OH,4,Republican,rep,1/6/09,1/3/11,OH,4,Republican,rep,1/5/11,1/3/13,OH,4,Republican,rep,1/3/13,1/3/15,OH,4,Republican,rep,1/6/15,1/3/17,OH,4,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://jordan.house.gov,,http://jordan.house.gov,1524 Longworth HOB; Washington DC 20515-3504,202-225-2676,202-226-0577,http://jordan.house.gov/contactform_zipcheck.shtml,1524 Longworth House Office Building,,http://jordan.house.gov,1524 Longworth HOB; Washington DC 20515-3504,202-225-2676,202-226-0577,http://jordan.house.gov/contact/,1524 Longworth House Office Building,,http://jordan.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://jordan.house.gov,,,,,,,,,,,,,,http://jordan.house.gov,1524 Longworth HOB; Washington DC 20515-3504,202-225-2676,202-226-0577,http://jordan.house.gov/contact/,1524 Longworth House Office Building,,http://jordan.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcy Kaptur,,Marcy,Kaptur,Marcy Kaptur,6/17/46,F,rep,1/3/83,1/3/85,OH,9,Democrat,rep,1/3/85,1/3/87,OH,9,Democrat,rep,1/6/87,1/3/89,OH,9,Democrat,rep,1/3/89,1/3/91,OH,9,Democrat,rep,1/3/91,1/3/93,OH,9,Democrat,rep,1/5/93,1/3/95,OH,9,Democrat,,rep,1/4/95,1/3/97,OH,9,Democrat,,rep,1/7/97,1/3/99,OH,,Democrat,,,,,,,rep,1/6/99,1/3/01,OH,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,rep,1/3/01,1/3/03,OH,9,Democrat,,rep,1/7/03,1/3/05,OH,,Democrat,http://www.house.gov/kaptur,,,,,,rep,1/4/05,1/3/07,OH,Democrat,,http://www.house.gov/kaptur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,rep,1/4/07,1/3/09,OH,9,Democrat,http://kaptur.house.gov,rep,1/6/09,1/3/11,OH,9,Democrat,http://kaptur.house.gov,,,,,,rep,1/5/11,1/3/13,OH,Democrat,9,http://kaptur.house.gov,2186 Rayburn HOB; Washington DC 20515-3509,202-225-4146,202-225-7711,http://kaptur.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=2&amp;format=raw,2186 Rayburn House Office Building,,rep,1/3/13,1/3/15,OH,Democrat,9,http://www.kaptur.house.gov,2186 Rayburn HOB; Washington DC 20515-3509,202-225-4146,202-225-7711,https://forms.house.gov/kaptur/webforms/issue_subscribe.shtml,2186 Rayburn House Office Building,http://kaptur.house.gov/index.php?format=feed&amp;type=rss,rep,1/6/15,1/3/17,OH,9,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kaptur.house.gov,2186 Rayburn HOB; Washington DC 20515-3509,202-225-4146,202-225-7711,https://forms.house.gov/kaptur/webforms/issue_subscribe.shtml,2186 Rayburn House Office Building,http://kaptur.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Keating (politician),,William,Keating,William R. Keating,9/6/52,M,rep,1/5/11,1/3/13,MA,10,Democrat,rep,1/3/13,1/3/15,MA,9,Democrat,rep,1/6/15,1/3/17,MA,9,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://keating.house.gov,,http://keating.house.gov,315 Cannon HOB; Washington DC 20515-2109,202-225-3111,202- 225-5658,https://forms.house.gov/keating/webforms/contact.shtml,315 Cannon House Office Building,,,,,,,,,,R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://keating.house.gov/,315 Cannon HOB; Washington DC 20515-2110,202-225-3111,202- 225-5658,,315 Cannon House Office Building,315 Cannon HOB; Washington DC 20515-2109,202-225-3111,202- 225-5658,https://forms.house.gov/keating/webforms/contact.shtml,315 Cannon House Office Building,,http://keating.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,,,,,,,,,,,,,http://keating.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Kelly (Pennsylvania politician),Mike Kelly,Mike,Kelly,Mike Kelly,5/10/48,M,rep,1/5/11,1/3/13,PA,3,Republican,rep,1/3/13,1/3/15,PA,3,Republican,rep,1/6/15,1/3/17,PA,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kelly.house.gov,,http://kelly.house.gov,1519 Longworth HOB; Washington DC 20515-3803,202-225-5406,202-225-3103,https://kelly.house.gov/contact-me/email-me,1519 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kelly.house.gov/,515 Cannon HOB; Washington DC 20515-3803,202-225-5406,202-225-3103,,515 Cannon House Office Building,1519 Longworth HOB; Washington DC 20515-3803,202-225-5406,202-225-3103,https://kelly.house.gov/contact-me/email-me,1519 Longworth House Office Building,,http://kelly.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kelly.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Kind,Ron Kind,Ron,Kind,Ron Kind,3/16/63,M,rep,1/7/97,1/3/99,WI,3,Democrat,rep,1/6/99,1/3/01,WI,3,Democrat,rep,1/3/01,1/3/03,WI,3,Democrat,rep,1/7/03,1/3/05,WI,3,Democrat,rep,1/4/05,1/3/07,WI,3,Democrat,rep,1/4/07,1/3/09,WI,3,Democrat,http://www.house.gov/kind,rep,1/6/09,1/3/11,WI,3,Democrat,http://www.house.gov/kind,rep,1/5/11,1/3/13,WI,,Democrat,http://www.house.gov/kind,1406 Longworth HOB; Washington DC 20515-4903,202-225-5506,202-225-5739,http://www.house.gov/kind/contact.shtml,1406 Longworth House Office Building,rep,1/3/13,1/3/15,WI,Democrat,,http://kind.house.gov,1502 Longworth HOB; Washington DC 20515-4903,202-225-5506,202-225-5739,https://kindforms.house.gov/email-ron,1502 Longworth House Office Building,,http://kind.house.gov/common/rss/?rss=52,,,,,,,,,,,http://www.house.gov/kind,,,,,,,,James,3,3,rep,1/6/15,1/3/17,WI,3,Democrat,http://kind.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/kind,,,,,,,,,,,,,,,,1502 Longworth HOB; Washington DC 20515-4903,202-225-5506,202-225-5739,https://kindforms.house.gov/email-ron,1502 Longworth House Office Building,,http://kind.house.gov/common/rss/?rss=52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter T. King,Peter T. King,Peter,King,Peter T. King,4/5/44,M,rep,1/5/93,1/3/95,NY,3,Republican,rep,1/4/95,1/3/97,NY,3,Republican,rep,1/7/97,1/3/99,NY,3,Republican,rep,1/6/99,1/3/01,NY,3,Republican,rep,1/3/01,1/3/03,NY,3,Republican,rep,1/7/03,1/3/05,NY,3,Republican,http://www.house.gov/king,rep,1/4/05,1/3/07,NY,3,Republican,http://www.house.gov/king,rep,1/4/07,1/3/09,NY,,Republican,http://peteking.house.gov,,,,,,rep,1/6/09,1/3/11,NY,Republican,,http://peteking.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,T.,3,3,rep,1/5/11,1/3/13,NY,3,Republican,http://peteking.house.gov,rep,1/3/13,1/3/15,NY,,Republican,http://peteking.house.gov,339 Cannon HOB; Washington DC 20515-3202,202-225-7896,202-226-2279,https://peteking.house.gov/contact/email-me,339 Cannon House Office Building,rep,1/6/15,1/3/17,NY,Republican,,http://peteking.house.gov,339 Cannon HOB; Washington DC 20515-3202,202-225-7896,202-226-2279,https://peteking.house.gov/contact/email-me,339 Cannon House Office Building,,http://peteking.house.gov/rss.xml,,,,,,,,,,Pete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339 Cannon HOB; Washington DC 20515-3203,202-225-7896,202-226-2279,http://peteking.house.gov/zip.shtml,339 Cannon House Office Building,,,,,,,http://peteking.house.gov/rss.xml,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve King,Steve King,Steve,King,Steve King,5/28/49,M,rep,1/7/03,1/3/05,IA,5,Republican,rep,1/4/05,1/3/07,IA,5,Republican,rep,1/4/07,1/3/09,IA,5,Republican,rep,1/6/09,1/3/11,IA,5,Republican,rep,1/5/11,1/3/13,IA,5,Republican,rep,1/3/13,1/3/15,IA,4,Republican,http://steveking.house.gov,rep,1/6/15,1/3/17,IA,4,Republican,https://steveking.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/steveking,,http://www.house.gov/steveking,,,,,,,http://www.house.gov/steveking,,,,,,,,A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210 Rayburn HOB; Washington DC 20515-1504,202-225-4426,202-225-3193,https://forms.house.gov/king/webforms/issue_subscribe.html,2210 Rayburn House Office Building,,,,,,http://www.house.gov/steveking,,,,,,,,,,,,,,http://www.house.gov/steveking,1131 Longworth HOB; Washington DC 20515-1505,202-225-4426,202-225-3193,http://www.house.gov/steveking/email.shtm,1131 Longworth House Office Building,,,2210 Rayburn HOB; Washington DC 20515-1504,202-225-4426,202-225-3193,https://forms.house.gov/king/webforms/issue_subscribe.html,2210 Rayburn House Office Building,,http://steveking.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,http://steveking.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Kinzinger,Adam Kinzinger,Adam,Kinzinger,Adam Kinzinger,2/27/78,M,rep,1/5/11,1/3/13,IL,11,Republican,rep,1/3/13,1/3/15,IL,16,Republican,rep,1/6/15,1/3/17,IL,16,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kinzinger.house.gov,,http://kinzinger.house.gov,1221 Longworth HOB; Washington DC 20515-1316,202-225-3635,202- 225-3521,https://kinzinger.house.gov/email-adam,1221 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kinzinger.house.gov/,1218 Longworth HOB; Washington DC 20515-1311,202-225-3635,202- 225-3521,,1218 Longworth House Office Building,1221 Longworth HOB; Washington DC 20515-1316,202-225-3635,202- 225-3521,https://kinzinger.house.gov/email-adam,1221 Longworth House Office Building,,http://kinzinger.house.gov/common/rss//index.cfm?rss=49,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kinzinger.house.gov/common/rss//index.cfm?rss=49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Kirk,Mark Kirk,Mark,Kirk,Mark Kirk,9/15/59,M,rep,1/3/01,1/3/03,IL,10,Republican,rep,1/7/03,1/3/05,IL,10,Republican,rep,1/4/05,1/3/07,IL,10,Republican,rep,1/4/07,1/3/09,IL,10,Republican,rep,1/6/09,11/29/10,IL,10,Republican,sen,11/29/10,1/3/11,IL,,Republican,,sen,1/5/11,1/3/17,IL,,Republican,https://www.kirk.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/kirk,,http://www.house.gov/kirk,,,,,,,http://www.house.gov/kirk,,,,,,,,Steven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,524 Hart Senate Office Building Washington DC 20510,202-224-2854,202-228-4611,http://www.kirk.senate.gov/?p=comment_on_legislation,524 Hart Senate Office Building,,,,,,,,,,,,,,,,,,,,http://www.house.gov/kirk,,,,,,,,,,,,,junior,http://kirk.senate.gov/rss/?p=hot_topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
